# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
KMT-2016-BLG-0212 b	Confirmed																							2018	2020-03-30																																					Published in a refereed paper	Microlensing					KMT-2016-BLG-0212	268.43925	-29.0868888934						6000.0	1500.0	1500.0				0.5	0.4	0.4													
KMT-2016-BLG-1107 b	Confirmed	3.283	1.835	3.468										0.342	0.085	0.07								2018	2018-08-15																																					Published in a refereed paper	Microlensing					KMT-2016-BLG-1107	266.41666668	-26.031666679						6651.0	1348.0	948.0				0.087	0.049	0.092													
KMT-2016-BLG-1397 b	Confirmed	7.0	4.3	5.2										5.1	1.7	1.5								2018	2018-10-26																																					Published in a refereed paper	Microlensing	Microlensing				KMT-2016-BLG-1397	272.66666668	-24.857777801						6600.0	1300.0	1100.0				0.45	0.28	0.23													
KMT-2016-BLG-1820 b	Confirmed	4.57	2.14	5.03										1.08	0.24	0.24								2018	2018-06-29																																					Published in a refereed paper	Microlensing					KMT-2016-BLG-1820	268.766666668	-29.516944455						6260.0	1280.0	1140.0				0.039	0.018	0.043													
KMT-2016-BLG-1836L b	Confirmed	2.2	1.1	1.9										3.5	0.9	1.1								2019	2019-08-28																																					Published in a refereed paper	Microlensing	Microlensing				KMT-2016-BLG-1836L	268.25	-30.04083334						7100.0	240.0	80.0				0.49	0.25	0.38													
KMT-2016-BLG-2142 b	Confirmed	15.49	8.58	24.99										0.83	0.2	0.15								2018	2018-06-29																																					Published in a refereed paper	Microlensing					KMT-2016-BLG-2142	268.112500009	-29.384444453						7010.0	1160.0	1010.0				0.073	0.04	0.117													
KMT-2016-BLG-2364 b	Confirmed	3.93	2.17	3.16										2.63	0.65	0.46								2020	2020-08-24																																					Published in a refereed paper	Microlensing	Microlensing				KMT-2016-BLG-2364	265.716666684	-27.435555566						6440.0	1.6	1.13				0.5	0.27	0.4													
KMT-2016-BLG-2397 b	Confirmed	2.42	1.16	1.16										2.83	1.19	0.84								2020	2020-08-24																																					Published in a refereed paper	Microlensing	Microlensing				KMT-2016-BLG-2397	266.212500017	-23.201388894						5009.0	2140.0	1500.0				0.62	0.3	0.3													
KMT-2016-BLG-2605 b	Confirmed	0.771	0.401	1.183										0.681	0.11	0.102								2021	2021-04-19																																					Published in a refereed paper	Microlensing	Microlensing				KMT-2016-BLG-2605	269.825000006	-26.981944476						6421.0	991.0	878.0				0.064	0.033	0.099													
KMT-2017-BLG-0165L b	Confirmed	0.107	0.038	0.047										3.45	0.95	0.98								2018	2018-09-26																																					Published in a refereed paper	Microlensing					KMT-2017-BLG-0165L	269.650000012	-28.133611114						4530.0	980.0	1040.0				0.76	0.27	0.34													
