Photometry,Sector,Frequency,PSD
TESS_18_0,All,0.5,24467692.846867368
TESS_18_0,All,1.5,10188619.528846154
TESS_18_0,All,2.5,930616.2639723558
TESS_18_0,All,3.5,119262.88955453727
TESS_18_0,All,4.5,107884.82277395175
TESS_18_0,All,5.5,55932.360943134016
TESS_18_0,All,6.5,47196.51138070913
TESS_18_0,All,7.5,26706.37939453125
TESS_18_0,All,8.5,17639.22152709961
TESS_18_0,All,9.5,19064.74355345506
TESS_18_0,All,10.5,14851.259117713342
TESS_18_0,All,11.5,10189.92405465933
TESS_18_0,All,12.5,16017.013041569637
TESS_18_0,All,13.5,8379.429849477914
TESS_18_0,All,14.5,6296.537622305063
TESS_18_0,All,15.5,10509.930341796875
TESS_18_0,All,16.5,7928.983056288499
TESS_18_0,All,17.5,10535.190588144156
TESS_18_0,All,18.5,17612.05248084435
TESS_18_0,All,19.5,24355.977571927586
TESS_18_0,All,20.5,16909.016325730543
TESS_18_0,All,21.5,18378.183161808895
TESS_18_0,All,22.5,10356.607272221492
TESS_18_0,All,23.5,15598.679786095252
TESS_18_0,All,24.5,12161.21513902224
TESS_18_0,All,25.5,12352.629759568434
TESS_18_0,All,26.5,15808.484229454627
TESS_18_0,All,27.5,23084.717393141527
TESS_18_0,All,28.5,38867.31884765625
TESS_18_0,All,29.5,220446.41513296275
TESS_18_0,All,30.5,47433.4281640625
TESS_18_0,All,31.5,96680.79036301833
TESS_18_0,All,32.5,1296436.7732121395
TESS_18_0,All,33.5,993877.6192439153
TESS_18_0,All,34.5,92224.57821890023
TESS_18_0,All,35.5,248866.1950495793
TESS_18_0,All,36.5,490917.0658804086
TESS_18_0,All,37.5,311589.200383113
TESS_18_0,All,38.5,447900.03680889425
TESS_18_0,All,39.5,3855701.821814904
TESS_18_0,All,40.5,11326289.720853366
TESS_18_0,All,41.5,1043265.9447115385
TESS_18_0,All,42.5,9088957.224759616
TESS_18_0,All,43.5,1118663.508939303
TESS_18_0,All,44.5,361784.8201059195
TESS_18_0,All,45.5,14731746.159254808
TESS_18_0,All,46.5,1878696.4040820312
TESS_18_0,All,47.5,259765.80785663312
TESS_18_0,All,48.5,449706.9170673077
TESS_18_0,All,49.5,173561.1694054237
TESS_18_0,All,50.5,99570.52160644531
TESS_18_0,All,51.5,113745.65472881611
TESS_18_0,All,52.5,67907.58826622597
TESS_18_0,All,53.5,46786.4793748122
TESS_18_0,All,54.5,67094.51295823317
TESS_18_0,All,55.5,89171.8418344351
TESS_18_0,All,56.5,28331.14371079665
TESS_18_0,All,57.5,24234.80833552434
TESS_18_0,All,58.5,42789.033348670375
TESS_18_0,All,59.5,26205.320919330305
TESS_18_0,All,60.5,59720.920640798715
TESS_18_0,All,61.5,23964.634259033202
TESS_18_0,All,62.5,23994.316955566406
TESS_18_0,All,63.5,34646.58950453538
TESS_18_0,All,64.5,51932.103663517875
TESS_18_0,All,65.5,22009.832056779127
TESS_18_0,All,66.5,17400.57749117338
TESS_18_0,All,67.5,13244.965440016527
TESS_18_0,All,68.5,9124.083189744215
TESS_18_0,All,69.5,6116.829735682561
TESS_18_0,All,70.5,6002.925091963548
TESS_18_0,All,71.5,3911.935652219332
TESS_18_0,All,72.5,4927.7598672830145
TESS_18_0,All,73.5,8459.893559382512
TESS_18_0,All,74.5,4822.947172311636
TESS_18_0,All,75.5,5901.117657001202
TESS_18_0,All,76.5,7178.968861506535
TESS_18_0,All,77.5,4155.856887664795
TESS_18_0,All,78.5,3732.028134272649
TESS_18_0,All,79.5,7004.577360886794
TESS_18_0,All,80.5,8390.748619666467
TESS_18_0,All,81.5,8373.474329801706
TESS_18_0,All,82.5,12776.081965519832
TESS_18_0,All,83.5,9655.063834896455
TESS_18_0,All,84.5,5964.594585418701
TESS_18_0,All,85.5,5394.698216364934
TESS_18_0,All,86.5,3289.972852266752
TESS_18_0,All,87.5,3022.617381462684
TESS_18_0,All,88.5,4319.6373619666465
TESS_18_0,All,89.5,3878.93772653433
TESS_18_0,All,90.5,4408.675778902494
TESS_18_0,All,91.5,6341.600663405198
TESS_18_0,All,92.5,2548.3071752929686
TESS_18_0,All,93.5,1946.469884432279
TESS_18_0,All,94.5,3961.4609512915977
TESS_18_0,All,95.5,2121.163055566641
TESS_18_0,All,96.5,4685.586653489333
TESS_18_0,All,97.5,4128.436421614427
TESS_18_0,All,98.5,2978.5125926824717
TESS_18_0,All,99.5,1909.914932837853
TESS_18_0,All,100.5,2758.7512694138745
