Photometry,Sector,Frequency,PSD
TESS_18_0,All,0.5,0.5619354040004814
TESS_18_0,All,1.5,0.2098220997858953
TESS_18_0,All,2.5,0.02140649311777456
TESS_18_0,All,3.5,0.002283097266417765
TESS_18_0,All,4.5,0.002232562166949525
TESS_18_0,All,5.5,0.0011803707814380842
TESS_18_0,All,6.5,0.000692258893079884
TESS_18_0,All,7.5,0.0005219003257443572
TESS_18_0,All,8.5,0.0005862159865483789
TESS_18_0,All,9.5,0.0005631223477421114
TESS_18_0,All,10.5,0.0004045729182643534
TESS_18_0,All,11.5,0.0004153671018379309
TESS_18_0,All,12.5,0.0004925930850522988
TESS_18_0,All,13.5,0.00035181475802128435
TESS_18_0,All,14.5,0.0002927233135891683
TESS_18_0,All,15.5,0.00042888438236788213
TESS_18_0,All,16.5,0.00028084689492631465
TESS_18_0,All,17.5,0.0003824198142095142
TESS_18_0,All,18.5,0.0003417720917010018
TESS_18_0,All,19.5,0.000425819160004904
TESS_18_0,All,20.5,0.00037828980053324405
TESS_18_0,All,21.5,0.0005005110824601483
TESS_18_0,All,22.5,0.0003712808427042956
TESS_18_0,All,23.5,0.0003184145742876942
TESS_18_0,All,24.5,0.00042502687672266604
TESS_18_0,All,25.5,0.0005875724395978625
TESS_18_0,All,26.5,0.0008043926654434237
TESS_18_0,All,27.5,0.0005434019450448826
TESS_18_0,All,28.5,0.000752470060706799
TESS_18_0,All,29.5,0.002913969217447077
TESS_18_0,All,30.5,0.0007124890326765311
TESS_18_0,All,31.5,0.0019289154660913589
TESS_18_0,All,32.5,0.014270112770575587
TESS_18_0,All,33.5,0.012054250476079621
TESS_18_0,All,34.5,0.003710565614514181
TESS_18_0,All,35.5,0.005173457803402313
TESS_18_0,All,36.5,0.008738428537322259
TESS_18_0,All,37.5,0.006724268075530482
TESS_18_0,All,38.5,0.012593657330752895
TESS_18_0,All,39.5,0.09334121534762646
TESS_18_0,All,40.5,0.3164939702450813
TESS_18_0,All,41.5,0.03729498832321205
TESS_18_0,All,42.5,0.3729220935377135
TESS_18_0,All,43.5,0.045562765776935174
TESS_18_0,All,44.5,0.024152696222849917
TESS_18_0,All,45.5,0.97968494452266
TESS_18_0,All,46.5,0.12966481640348257
TESS_18_0,All,47.5,0.018929429605452727
TESS_18_0,All,48.5,0.04932184460229434
TESS_18_0,All,49.5,0.01825727314745001
TESS_18_0,All,50.5,0.01170329207197095
TESS_18_0,All,51.5,0.01818594614547601
TESS_18_0,All,52.5,0.01712764497907339
TESS_18_0,All,53.5,0.010379263800132136
TESS_18_0,All,54.5,0.016683504888009
TESS_18_0,All,55.5,0.026038711874468597
TESS_18_0,All,56.5,0.010676868253933814
TESS_18_0,All,57.5,0.006349173489682152
TESS_18_0,All,58.5,0.02096315900104847
TESS_18_0,All,59.5,0.013311956041497975
TESS_18_0,All,60.5,0.03700111548659988
TESS_18_0,All,61.5,0.01120632882723885
TESS_18_0,All,62.5,0.016006329494118274
TESS_18_0,All,63.5,0.030388026154167636
TESS_18_0,All,64.5,0.06398956673671205
TESS_18_0,All,65.5,0.016354109945237345
TESS_18_0,All,66.5,0.015602600574623288
TESS_18_0,All,67.5,0.008862340024816001
TESS_18_0,All,68.5,0.009838608601861459
TESS_18_0,All,69.5,0.010332899503888042
TESS_18_0,All,70.5,0.009308173239144936
TESS_18_0,All,71.5,0.008562192727596507
TESS_18_0,All,72.5,0.017271312661063572
TESS_18_0,All,73.5,0.026298974712561388
TESS_18_0,All,74.5,0.018501718499732225
TESS_18_0,All,75.5,0.021038535839131886
TESS_18_0,All,76.5,0.027162008207374265
TESS_18_0,All,77.5,0.017608994031595836
TESS_18_0,All,78.5,0.01707404671396067
TESS_18_0,All,79.5,0.047482985391217175
TESS_18_0,All,80.5,0.0817707440844851
TESS_18_0,All,81.5,0.07770175149209642
TESS_18_0,All,82.5,0.16121707037654415
TESS_18_0,All,83.5,0.09650950428749396
TESS_18_0,All,84.5,0.09099794593335199
TESS_18_0,All,85.5,0.0783097814119501
TESS_18_0,All,86.5,0.06198165476897412
TESS_18_0,All,87.5,0.04475021110182008
TESS_18_0,All,88.5,0.09886208889413288
TESS_18_0,All,89.5,0.0782572344217168
TESS_18_0,All,90.5,0.08120747076731297
TESS_18_0,All,91.5,0.12769783789504077
TESS_18_0,All,92.5,0.06364282261561376
TESS_18_0,All,93.5,0.05244436287301722
TESS_18_0,All,94.5,0.10000681711169902
TESS_18_0,All,95.5,0.08017452094005684
TESS_18_0,All,96.5,0.18645720855754724
TESS_18_0,All,97.5,0.1426972685815815
TESS_18_0,All,98.5,0.1469870169656552
TESS_18_0,All,99.5,0.09664196099084493
TESS_18_0,All,100.5,0.1986603031018945
TESS_18_0,All,101.5,0.1363844734880332
TESS_18_0,All,102.5,0.17626126396632047
TESS_18_0,All,103.5,0.33370296402254873
TESS_18_0,All,104.5,0.22914300986904104
TESS_18_0,All,105.5,0.12445611654210274
TESS_18_0,All,106.5,0.079946675330885
TESS_18_0,All,107.5,0.12766045600258075
TESS_18_0,All,108.5,0.11689452906342343
TESS_18_0,All,109.5,0.18416684725950538
TESS_18_0,All,110.5,0.2573010367836925
TESS_18_0,All,111.5,0.2935658658228362
TESS_18_0,All,112.5,0.21904475230261042
TESS_18_0,All,113.5,0.2873949633380567
