Photometry,Sector,Likelihood,Log S0,Log Q,Log w0,Inc - S0,Inc + S0,Inc - Q,Inc + Q,Inc - w0,Inc + w0,RMS
TESS_18_0,All,101984.85650810678,-18.37134277663594,0.11451503755236617,5.5717886842085695,0.036370783521675776,0.03808803657384985,0.025555852908717522,0.02597822915169476,0.008706944597404842,0.008675924902275867,1.8806244163285164e-05
TESS_18_1,All,128240.13387347115,-22.142876979649024,3.109640073725423,5.753980094996356,0.021734975681752644,0.02164980269672867,0.0752287164342591,0.0802341777563651,0.0016721718899628257,0.0016805905094807727,4.437758102535266e-05
TESS_18_19,All,-179753.64887860758,0.7941907898268944,2.152303308291553,5.764510130513022,0.015240107885003074,0.014770535231140136,0.03158080052882539,0.03250893840215241,0.0016869013396263455,0.0016768971867788807,2.1588651674991612
TESS_18_19,Sector1,-75574.63931931343,1.8507139763119689,2.8783678377001705,5.757203723883169,0.02417273617341764,0.024483848756778226,0.07111300034491119,0.0751542258531499,0.0020421773694261347,0.0019896167986992452,5.697958602628112
TESS_18_19,Sector2,-36552.611059346375,-1.3080643409273844,1.9623166536626515,5.766656785115153,0.027470279564753675,0.028641009076334045,0.05311125948234663,0.05528836515104185,0.003521549762450782,0.0035187127731086676,0.6514201569230729
TESS_18_19,Sector3,-inf,1.000000000190798,2.4999999995889692,5.800000001485785,9.586252347482116e-09,9.409456325215615e-09,1.0716799447862968e-08,7.983330885252826e-09,1.318781794878987e-08,8.097019055242072e-09,
TESS_18_2,All,103652.36686795221,-21.01815796606161,1.9840102432997426,5.746117798973506,0.025578896551589736,0.025733164684744736,0.051319805538165175,0.05262534409405362,0.0032524481162905516,0.0032895250336366644,3.8402653020783074e-05
TESS_19,All,113980.58740673568,-21.160841698914858,2.0716096431766102,5.766507937434275,0.02586894209067836,0.02629464892616795,0.05006216950963038,0.053590450041754334,0.0030254045448545597,0.002992384259576042,4.1310548669895923e-05
TESS_20_0,All,127862.83053104822,-22.17318865127277,2.985296112346524,5.743876898810827,0.021902924734146012,0.021522207461899256,0.07360135497193676,0.07792239949111712,0.0018425250571922902,0.0018274991614140035,4.341463940996099e-05
TESS_20_0,Sector1,60387.64417030359,-22.133713578244905,2.9645631070879537,5.745168333242708,0.032288853547786545,0.03244321448249465,0.10322786341227186,0.115245559376564,0.0027403087149444616,0.0026646186886587486,4.313245248139522e-05
TESS_20_0,Sector2,67477.21305969037,-22.207452423191132,3.0065487688214043,5.7427777190216,0.0296801021361226,0.029933231586344533,0.09857546547772422,0.1111514321763094,0.002518812395937431,0.002432852310368716,4.3683142048776945e-05
TESS_20_1,All,126426.97112864052,-21.997354933427914,2.8087940907319044,5.734347207497732,0.023063060056973228,0.022839541809670294,0.06697737526372549,0.07115105401210142,0.002050838924112064,0.001998885923145899,4.429672642860818e-05
TESS_20_1,Sector1,64580.34897875743,-22.364887764761065,3.181210319236613,5.734893085364944,0.029154232598557428,0.029153144729512803,0.111288768250704,0.12696170523360806,0.002321762298259422,0.002346270772989989,4.249398669425462e-05
TESS_20_1,Sector2,62011.36651525063,-21.563678652950095,2.3820383835958086,5.735717725009642,0.034847553417890254,0.03527021373701089,0.08016002915716625,0.08680766763547831,0.0035025869622504757,0.0035050758737771304,4.4276968513862663e-05
TESS_21,All,114836.48613164957,-20.58612953101254,1.3477909075501437,5.765334046162726,0.025916457194092857,0.026140421092023303,0.037540780395893814,0.03906741564914906,0.004159716418786097,0.004195460790617389,3.374060243302788e-05
TESS_21,Sector1,61175.70929001819,-22.050070864805786,2.8271421494920386,5.737555999024254,0.034738677274013696,0.03447207206678726,0.09779545447187799,0.10815109007131252,0.002841622012804912,0.002836233391655618,4.670458650711425e-05
TESS_21,Sector2,55086.24604499463,-19.897529267978328,0.6410634964932374,5.800935712924904,0.0392421752769998,0.03975527411425972,0.03997398563587384,0.03992869839999125,0.008322815638854841,0.008342365397670193,2.5291059422728588e-05
TESS_ALL,All,712648.5218970648,-21.53693086194854,2.408499959716872,5.749382932452834,0.010263456831509643,0.010310837815815432,0.024100231890349377,0.02449231783945338,0.0010154234362556025,0.0010049201175013067,
