Time Residus STD
5.425183919999999489e+02 -7.938789732467009230e+01 6.810783658822079645e-02
5.425193870000000516e+02 -7.937362717709554261e+01 6.554113311726070257e-02
5.425203830000000380e+02 -7.938504654616717460e+01 6.570563168912774143e-02
5.425213889999999992e+02 -7.939686813411408650e+01 6.199380144582499613e-02
5.425223849999999857e+02 -7.935822444147856913e+01 6.239144937858112638e-02
5.425233690000000024e+02 -7.941017786153445002e+01 6.441666836832350695e-02
5.425243639999999914e+02 -7.936399868444189565e+01 6.445076380002573435e-02
5.425253589999999804e+02 -7.939236239919507909e+01 6.315227521217189888e-02
5.425263549999999668e+02 -7.937864070459640686e+01 6.442281421662521268e-02
5.425273499999999558e+02 -7.939294279046001179e+01 6.218773337701846010e-02
5.425283570000000282e+02 -7.935388526331418291e+01 6.352824172927284962e-02
5.425293520000000171e+02 -7.943290806124987569e+01 6.509842792689390922e-02
5.425303360000000339e+02 -7.933510825506422748e+01 6.512454087865403307e-02
5.425313429999999926e+02 -7.941230925653560746e+01 6.251769890933393803e-02
5.425323499999999513e+02 -7.936097352125517546e+01 6.485450290393873773e-02
5.425333219999999983e+02 -7.940278519855219486e+01 6.390175365215414183e-02
5.425343169999999873e+02 -7.936360540925105056e+01 6.315133552865924427e-02
5.425353239999999460e+02 -7.941217368085631279e+01 6.586808363484937534e-02
5.425362959999999930e+02 -7.934598638144770177e+01 6.592693985274648838e-02
5.425372919999999795e+02 -7.941674957224618936e+01 6.487259824975394329e-02
5.425382869999999684e+02 -7.935762084411152273e+01 6.460171720053110855e-02
5.425392829999999549e+02 -7.940285989845301629e+01 6.874090463548901409e-02
5.425402659999999742e+02 -7.937523198573781258e+01 6.434593410891209508e-02
5.425412850000000162e+02 -7.937916102224625092e+01 6.426398417852995093e-02
5.425422690000000330e+02 -7.939609281398942642e+01 6.640702047321793422e-02
5.425432749999999942e+02 -7.937326252960487238e+01 6.646896457389482593e-02
5.425442590000000109e+02 -7.938040849764084328e+01 6.512339637055089558e-02
5.425452549999999974e+02 -7.939678140657871097e+01 6.813012493585095253e-02
5.425462380000000167e+02 -7.937075891739044664e+01 6.609799231709033440e-02
5.425472340000000031e+02 -7.938929756924761705e+01 6.692878699223557548e-02
5.425482289999999921e+02 -7.938487580032293067e+01 6.487361326846836918e-02
5.425492239999999811e+02 -7.936619398147757920e+01 6.563228029465954794e-02
5.425502199999999675e+02 -7.941974514970696930e+01 6.271306847468667567e-02
5.425511800000000449e+02 -7.932512901278892059e+01 6.766017036059036871e-02
5.425521870000000035e+02 -7.944395456270947875e+01 7.197370914581291412e-02
5.425531829999999900e+02 -7.934107179897289086e+01 7.006261912950494108e-02
5.425541899999999487e+02 -7.942257172702568369e+01 7.612445295814147805e-02
5.425551729999999679e+02 -7.934425721987696534e+01 7.345166767198604840e-02
5.425561689999999544e+02 -7.941624376094624438e+01 7.632738563099940310e-02
5.425571639999999434e+02 -7.937262493951456577e+01 7.323430922972941348e-02
5.425581819999999880e+02 -7.939136899143530002e+01 7.700240144738192127e-02
5.425591779999999744e+02 -7.935500672462619320e+01 7.528975345528406138e-02
5.425601619999999912e+02 -7.942693983338557473e+01 7.347361886026636257e-02
5.425611569999999801e+02 -7.933871355598844843e+01 7.034316393905275244e-02
5.425621409999999969e+02 -7.942482790367746759e+01 6.944283881670938741e-02
5.425631590000000415e+02 -7.934341100071220865e+01 6.876300439773526396e-02
5.425641309999999748e+02 -7.942167006490416270e+01 6.843301774314994312e-02
5.425651380000000472e+02 -7.934377486043341321e+01 7.341284469984130090e-02
5.425661219999999503e+02 -7.940537891754824784e+01 7.582064513587259691e-02
5.425671290000000226e+02 -7.939504191009510237e+01 7.196768563732570956e-02
5.425681240000000116e+02 -7.934527985274455375e+01 7.089179659117149368e-02
5.425690970000000561e+02 -7.946572297156625098e+01 9.687243011345626764e-02
5.425701269999999568e+02 -7.933118428903858899e+01 8.386715022293593502e-02
5.425710990000000038e+02 -7.942681820253585556e+01 8.338920090680987385e-02
5.425721170000000484e+02 -7.933809990236747467e+01 7.785546851539736080e-02
5.425730889999999818e+02 -7.943282219490914997e+01 7.596332399776611899e-02
5.425740960000000541e+02 -7.933587877188027448e+01 7.900261208920686395e-02
5.425750689999999850e+02 -7.942814521818083051e+01 8.556647863689213762e-02
5.425760759999999436e+02 -7.934375298670916266e+01 7.986232909853374640e-02
5.425770589999999629e+02 -7.944022391341745504e+01 8.577561675865202906e-02
5.425780660000000353e+02 -7.931115913031504761e+01 8.926921861337003272e-02
5.425790500000000520e+02 -7.945454477821996875e+01 1.015184148747628745e-01
5.425800679999999829e+02 -7.935432604602812034e+01 1.007823238568564539e-01
5.425810639999999694e+02 -7.940332673533841046e+01 9.447572681944915729e-02
5.425820129999999608e+02 -7.933110266007649614e+01 1.000824380273470648e-01
5.425830660000000307e+02 -7.944346576775492963e+01 8.990454519968842095e-02
5.425840379999999641e+02 -7.931223673266865148e+01 9.974224141282782286e-02
5.425850450000000365e+02 -7.943244066003282455e+01 9.140350418419164458e-02
5.425860290000000532e+02 -7.934042168701625997e+01 9.449969516986372886e-02
5.425870240000000422e+02 -7.941817217709852628e+01 1.154130660473169090e-01
5.425880079999999452e+02 -7.936773459097233285e+01 1.008245107098557636e-01
5.425890150000000176e+02 -7.942143106845581713e+01 9.807507252380905094e-02
5.425899990000000344e+02 -7.931667771545518519e+01 9.380875673424855787e-02
5.425910059999999930e+02 -7.946114257281547566e+01 9.970234867562788317e-02
5.425920129999999517e+02 -7.931392120065046925e+01 1.042012121599562441e-01
5.425929730000000291e+02 -7.944387308914531332e+01 1.013300399912505784e-01
5.425939799999999877e+02 -7.934195508089388227e+01 1.007749305515079491e-01
5.425949749999999767e+02 -7.939416658077283273e+01 1.005768428233639183e-01
5.425959709999999632e+02 -7.936165655861434232e+01 1.079793352028437098e-01
5.425969659999999521e+02 -7.942927160626135219e+01 1.065203867843697028e-01
5.425979499999999689e+02 -7.936245971212809991e+01 9.478883602772801564e-02
5.425989570000000413e+02 -7.937026636235268029e+01 1.065807944474278790e-01
5.425999409999999443e+02 -7.939677887909654430e+01 1.221036246265262137e-01
5.426009239999999636e+02 -7.939618938436001372e+01 1.102749414255693311e-01
5.426019079999999803e+02 -7.937134572462753113e+01 1.156921053398082266e-01
5.445513240000000224e+02 -6.210928323637578785e+01 1.225865941671216708e-01
5.445520410000000311e+02 -6.326055255497855256e+01 1.107843344468812385e-01
5.445527359999999817e+02 -6.146150256410974322e+01 1.267133984297616200e-01
5.445534760000000460e+02 -6.276140317661407408e+01 1.282462262997830227e-01
5.455192720000000008e+02 -6.849805857292790279e+01 1.138890442198223912e-01
5.455199780000000374e+02 -6.750701882969588041e+01 1.106460545616806679e-01
5.455207080000000133e+02 -6.883738942956335904e+01 1.041146633636699514e-01
5.455214140000000498e+02 -6.800890188593986352e+01 1.078698415502670899e-01
5.464915379999999914e+02 -2.006103811774414112e+02 7.467181686328561163e-02
5.464925100000000384e+02 -2.005988877440476301e+02 6.771713657722494561e-02
5.464935169999999971e+02 -2.006133479301259399e+02 7.027117045162581399e-02
5.464944900000000416e+02 -2.006019629581908532e+02 7.125767027258911313e-02
5.464954960000000028e+02 -2.006047579276130648e+02 7.635483962822844917e-02
5.464964800000000196e+02 -2.006159692272173913e+02 7.181137054499968364e-02
5.464974640000000363e+02 -2.005956163117631377e+02 7.431378679508901519e-02
