Time Residus STD
5.425183919999999489e+02 -8.445128837507671449e+01 4.056103642820810506e+01
5.425193870000000516e+02 -8.581424104935848618e-01 3.317721682691042417e+01
5.425203830000000380e+02 -6.683672578554150334e+01 2.964476671699386756e+01
5.425213889999999992e+02 -9.665962065752766819e+01 2.864174262784266389e+01
5.425223849999999857e+02 -2.729115167205803516e+01 2.849426840272127137e+01
5.425233690000000024e+02 -1.241316511886536631e+02 2.831582960736673726e+01
5.425243639999999914e+02 -6.086276250185549941e+01 2.792464026351389705e+01
5.425253589999999804e+02 -8.405304232513587692e+01 2.745649672597656021e+01
5.425263549999999668e+02 -7.273016801204572346e+01 2.708733550167824333e+01
5.425273499999999558e+02 -4.272330460962903942e+01 2.689582367580755573e+01
5.425283570000000282e+02 -3.593929992514755156e+01 2.686957997509083640e+01
5.425293520000000171e+02 -1.595559733073582720e+02 2.691313137773867581e+01
5.425303360000000339e+02 4.612048011117684609e+01 2.693302999708965118e+01
5.425313429999999926e+02 -4.691921603253426554e+01 2.690830366252303918e+01
5.425323499999999513e+02 -6.152587339746857253e+01 2.688116399987599081e+01
5.425333219999999983e+02 -1.384843171728227276e+02 2.688903298301689659e+01
5.425343169999999873e+02 -9.708245912648207820e+01 2.695845649859538895e+01
5.425353239999999460e+02 -9.231172784606518178e+01 2.707302755797043758e+01
5.425362959999999930e+02 2.765784361156615034e+01 2.717917816176085921e+01
5.425372919999999795e+02 -7.848147338652991323e+01 2.726465262709465875e+01
5.425382869999999684e+02 -2.059488138458112871e+01 2.732922361350097873e+01
5.425392829999999549e+02 -7.413145593996796379e+01 2.736106387149048302e+01
5.425402659999999742e+02 -4.476291617439532899e+01 2.734835101761733966e+01
5.425412850000000162e+02 -7.025403409136218613e+01 2.734761909848124972e+01
5.425422690000000330e+02 -1.170594147035583177e+02 2.739486331194411761e+01
5.425432749999999942e+02 -4.904207708852560188e+01 2.747107270128657674e+01
5.425442590000000109e+02 -6.722563620781572524e+01 2.754760308127858792e+01
5.425452549999999974e+02 -1.102400556881341771e+02 2.760206265068068632e+01
5.425462380000000167e+02 -4.331003167516784913e+01 2.758700611801435798e+01
5.425472340000000031e+02 -5.074365518107062201e+01 2.750169068324415989e+01
5.425482289999999921e+02 -5.166458761064862415e+01 2.739327961321824034e+01
5.425492239999999811e+02 -8.103291530515025443e+01 2.737284895569179710e+01
5.425502199999999675e+02 -1.355067452533500614e+02 2.756027498071749804e+01
5.425511800000000449e+02 1.372395560248267543e+01 2.799171352117650713e+01
5.425521870000000035e+02 -1.515974732080638887e+02 2.858411938634643690e+01
5.425531829999999900e+02 -3.807486721456929502e+01 2.914106456003646173e+01
5.425541899999999487e+02 -6.469136753390408501e+01 2.959225595813863663e+01
5.425551729999999679e+02 -3.889455850021823835e+01 2.989057926612903415e+01
5.425561689999999544e+02 -1.973084328058004076e+02 3.007541481759044899e+01
5.425571639999999434e+02 -1.507453610467436249e+02 3.015232889025372387e+01
5.425581819999999880e+02 -4.305871696333956322e+01 3.010707713407047592e+01
5.425591779999999744e+02 -7.895851858946301149e+00 2.990331686586549864e+01
5.425601619999999912e+02 -1.070880702157557351e+02 2.957651009853158186e+01
5.425611569999999801e+02 -1.137429034608776135e+01 2.921792523121974838e+01
5.425621409999999969e+02 -9.805829135990602197e+01 2.896043911886197719e+01
5.425631590000000415e+02 -2.127222751592329075e+01 2.888701895418256882e+01
5.425641309999999748e+02 -1.068815659334256196e+02 2.903602506210672018e+01
5.425651380000000472e+02 -3.959629540660291980e+01 2.938365522215923775e+01
5.425661219999999503e+02 -1.513695510695645225e+02 2.983916636077196571e+01
5.425671290000000226e+02 -1.102828413745481555e+02 3.042217081331060768e+01
5.425681240000000116e+02 8.460788469617540386e+00 3.113749702027224586e+01
5.425690970000000561e+02 -8.675597932300691184e+01 3.181673772951959478e+01
5.425701269999999568e+02 3.074029136781099680e+01 3.217828141255237995e+01
5.425710990000000038e+02 -1.143031057112868609e+01 3.213428866818106400e+01
5.425721170000000484e+02 -1.177220885402327610e+01 3.188563241005010696e+01
5.425730889999999818e+02 -1.522874439770770323e+02 3.173290969640716597e+01
5.425740960000000541e+02 -5.772117829266132105e+01 3.185813076377193198e+01
5.425750689999999850e+02 -9.434104716309842331e+01 3.227191429952070933e+01
5.425760759999999436e+02 -4.030761326740703510e+01 3.294984739600899815e+01
5.425770589999999629e+02 -8.132630492743251693e+01 3.381683519225672541e+01
5.425780660000000353e+02 9.071615801367627796e+00 3.477855920272624957e+01
5.425790500000000520e+02 -1.504935381987569940e+02 3.557997919063375036e+01
5.425800679999999829e+02 -1.071746326691964413e+02 3.606913919454622430e+01
5.425810639999999694e+02 -2.876106090829129869e+01 3.620228316336911689e+01
5.425820129999999608e+02 7.823444900731288953e-01 3.615114582904953977e+01
5.425830660000000307e+02 -1.142727230241325600e+02 3.607815813277215966e+01
5.425840379999999641e+02 -1.019337761160657863e+01 3.616198483811498932e+01
5.425850450000000365e+02 -3.726410204494565903e+01 3.645445535894899791e+01
5.425860290000000532e+02 2.370166830707084671e+01 3.688666801432345466e+01
5.425870240000000422e+02 -5.492831861998929810e+01 3.728234975431098519e+01
5.425880079999999452e+02 -9.501651945881754102e+01 3.744838303870371732e+01
5.425890150000000176e+02 -7.933585324940000305e+01 3.743016621870767580e+01
5.425899990000000344e+02 -2.102292598310815208e+01 3.741614007532256636e+01
5.425910059999999930e+02 -1.893257661263160117e+02 3.758997342083893756e+01
5.425920129999999517e+02 -1.285787243208215500e+02 3.802497965228773324e+01
5.425929730000000291e+02 -9.373695742962250677e+01 3.869031117813717202e+01
5.425939799999999877e+02 9.484532694956455146e+01 3.961298451153731293e+01
5.425949749999999767e+02 1.041360950231301814e+02 4.061842025706840786e+01
5.425959709999999632e+02 -1.579825117251742483e+01 4.150414718397047409e+01
5.425969659999999521e+02 -1.374846940785873244e+02 4.209886869412960664e+01
5.425979499999999689e+02 -5.554447525932451413e+01 4.253013347870170691e+01
5.425989570000000413e+02 -4.217008310174321650e+01 4.339880742891317311e+01
5.425999409999999443e+02 -1.310486012483690388e+02 4.560408081870949104e+01
5.426009239999999636e+02 -1.233817174021676664e+02 5.015331965935607883e+01
5.426019079999999803e+02 3.194119627967542385e+01 5.743255930937494469e+01
5.445513240000000224e+02 -1.622369999305739725e+02 2.281999205999599503e-02
5.445520410000000311e+02 -2.623319999454304821e+02 2.281999200062027194e-02
5.445527359999999817e+02 -1.213790000673206038e+02 2.281999200809269393e-02
5.445534760000000460e+02 -1.579520001471072703e+02 2.281999207725774262e-02
5.455192720000000008e+02 2.226269972686440894e+02 3.490874476033806878e-02
5.455199780000000374e+02 3.528929979103804726e+02 3.490874443250296250e-02
5.455207080000000133e+02 5.604299933151725099e+01 3.490874440409200141e-02
5.455214140000000498e+02 9.451800023261333195e+01 3.490874469848567058e-02
5.464915379999999914e+02 -1.464110648249121311e+02 4.720860122107194456e+01
5.464925100000000384e+02 -2.548773054504417246e+01 3.729309732117507536e+01
5.464935169999999971e+02 -4.184274338829115436e+01 3.357023171819555074e+01
5.464944900000000416e+02 -6.784697066878052851e+01 3.339246961470558972e+01
5.464954960000000028e+02 -1.390186397321227219e+02 3.374602684392646523e+01
5.464964800000000196e+02 -1.710598024295910307e+02 3.355027606440924615e+01
5.464974640000000363e+02 -8.934492920293075713e+01 3.292388331068733009e+01
5.464984819999999672e+02 -9.185543043976682043e+01 3.215934735525672750e+01
5.464994550000000118e+02 -9.743567831623241204e+01 3.169265149042154306e+01
5.465004619999999704e+02 -6.471792040426842618e+01 3.180148177393268227e+01
5.465014680000000453e+02 -7.368103131305801412e+01 3.234455957424339800e+01
5.465024409999999762e+02 -7.794588326313177618e+01 3.283038084575279214e+01
5.465034709999999905e+02 -3.216329467080353766e+01 3.301871075036695657e+01
5.465044430000000375e+02 -1.589025174818632706e+02 3.301237033731304393e+01
5.465054499999999962e+02 -1.503429390568332167e+02 3.301209088295217242e+01
5.465064220000000432e+02 -1.016161093734630185e+02 3.320980708085861721e+01
5.465074170000000322e+02 1.135477284518249519e+01 3.420840020567383277e+01
5.465084239999999909e+02 -7.221874353542079916e+01 3.690158034292592504e+01
5.465094080000000076e+02 -1.506723975424369542e+02 4.167421730516325340e+01
5.465115150000000313e+02 -1.374586898215163444e+02 5.636679552074150479e+01
5.465124060000000554e+02 2.486279963284599148e+01 6.358226908008885658e+01
5.465263639999999441e+02 -7.257920863843716575e+01 4.445567427538360050e+01
5.465273359999999911e+02 -8.332381123872735884e+01 3.622942471121893959e+01
5.465283200000000079e+02 -1.668664613564128274e+02 3.263570077476349240e+01
5.465293030000000272e+02 -9.841028600341368815e+01 3.209558547148370877e+01
5.465302870000000439e+02 -1.372225620248798919e+02 3.229986904257400937e+01
5.465312940000000026e+02 -7.420026587913791616e+01 3.219105557804653017e+01
5.465324050000000398e+02 -9.409218804591577623e+01 3.159404669467766524e+01
5.465332499999999527e+02 -1.252451904571284445e+02 3.116397373583932406e+01
5.465342339999999695e+02 -2.793365016904257914e+01 3.105292375354397194e+01
5.465352289999999584e+02 -9.365575474752270679e+01 3.129789414834937844e+01
5.465362129999999752e+02 -1.642065026332222146e+02 3.167955777039314214e+01
5.465371850000000222e+02 -5.348383547475333444e+01 3.209182261876029685e+01
5.465382379999999785e+02 -1.483482044038487970e+02 3.251235487689758230e+01
5.465392339999999649e+02 -5.613554372712124518e+01 3.285851041400858463e+01
5.465401829999999563e+02 -1.031469769657107918e+02 3.301752778750457651e+01
5.465412129999999706e+02 -1.218205952017172820e+02 3.285729447449674723e+01
5.465422200000000430e+02 -1.009959363776389694e+02 3.256341524639477569e+01
5.465431919999999764e+02 -1.157558511142784425e+02 3.241646791984112497e+01
5.465441759999999931e+02 -1.422802522635774380e+01 3.269985215252446409e+01
5.465451709999999821e+02 -1.583902015073748828e+02 3.336700240882717594e+01
5.465461659999999711e+02 -9.800830160755842257e+01 3.400010200824200979e+01
5.465471619999999575e+02 -9.059247839224582322e+00 3.423796743505049989e+01
5.465481569999999465e+02 -2.089889572072715112e+02 3.401711148375537874e+01
5.465491640000000189e+02 -1.922468153590346560e+02 3.359051598768124336e+01
5.465501709999999775e+02 -1.071788722697602623e+02 3.321580566435390125e+01
5.465511659999999665e+02 -7.810571465381227085e+01 3.305316468678849162e+01
5.465521499999999833e+02 2.317125527702128807e+01 3.320147322001425749e+01
5.465531109999999444e+02 -1.495414848284793834e+02 3.360103496628292419e+01
5.465541520000000446e+02 -1.372970630311609739e+02 3.393507983783565862e+01
5.465551239999999780e+02 -2.568551481765010180e+01 3.403414122039166756e+01
5.465561549999999897e+02 -1.269621039651525791e+02 3.407529688551366576e+01
5.465571149999999534e+02 -1.072786866860466688e+02 3.410619116414576979e+01
5.465581220000000258e+02 -1.879276460074235615e+02 3.404702892704268891e+01
5.465591170000000147e+02 -1.186698414917472917e+02 3.385015336742323910e+01
5.465601010000000315e+02 -1.396270204002716184e+02 3.353600809456238352e+01
5.465611079999999902e+02 -4.939386900283292903e+01 3.318037833308313367e+01
5.465621149999999489e+02 -1.392906448296933775e+02 3.294490409306630596e+01
5.465630989999999656e+02 -5.473109089895282864e+01 3.295521476765217272e+01
5.465640829999999823e+02 -1.068801897886473284e+02 3.327684712763336705e+01
5.465650779999999713e+02 -4.886461725950147184e+01 3.382233589313125321e+01
5.465660729999999603e+02 -1.420805566706904983e+02 3.451113286519025536e+01
5.465670689999999468e+02 -8.297255707051373008e+01 3.535518316751651469e+01
5.465680760000000191e+02 -1.305226295936407723e+02 3.629265508400448681e+01
5.465690710000000081e+02 1.964841747362001456e+00 3.709265166352985688e+01
5.465700890000000527e+02 -1.810558084228560460e+02 3.745330350712245604e+01
5.465712119999999459e+02 -1.210829312138845637e+02 3.707866373669190097e+01
5.465720679999999447e+02 -1.037051525772551912e+02 3.660031605923641962e+01
5.465730409999999893e+02 -6.480549723904118764e+00 3.694351373538957972e+01
5.465740590000000338e+02 -2.045576470445938071e+02 4.087557714892932381e+01
5.465750430000000506e+02 -5.414180912977469973e+01 5.075680992518202572e+01
7.806910759999999527e+02 -8.029603556061614711e+01 3.756151726573842353e+01
7.806924760000000560e+02 -1.573313063408308210e+01 3.231202853410312059e+01
7.806938880000000154e+02 -6.441305780056201513e+01 3.069180617479621276e+01
7.806953119999999444e+02 -7.145619498659040403e+01 3.066936360657707539e+01
7.806967120000000477e+02 -1.076179011919579267e+02 3.034911153200551936e+01
7.806981240000000071e+02 -9.210599643950637017e+01 2.929267341480657905e+01
7.806995480000000498e+02 -1.163279771510830756e+02 2.797351051012606504e+01
7.807009490000000369e+02 -6.602191310336023378e+01 2.704033871509623310e+01
7.807023609999999962e+02 5.228672645389309537e-01 2.665073570516618773e+01
7.807037729999999556e+02 -7.525211103166959958e+01 2.660674166607534019e+01
7.807051729999999452e+02 -9.174145268027179156e+01 2.660411467735746527e+01
7.807066079999999602e+02 -7.214179806481656954e+01 2.654207327530829019e+01
7.807080320000000029e+02 -6.551644683515289103e+01 2.650257749787878936e+01
7.807094210000000203e+02 -1.224156385612910753e+02 2.655251755245415168e+01
7.807108439999999518e+02 -8.088242431102607100e+01 2.660898515244034002e+01
7.807122570000000223e+02 -6.660015276827148512e+01 2.656477268706119332e+01
7.807136689999999817e+02 -6.487501001911790866e+01 2.642486664353089054e+01
7.807150810000000547e+02 1.911956403396861504e+01 2.628000639388367432e+01
7.807164810000000443e+02 -1.062086524697672445e+02 2.615916888299799936e+01
7.807178930000000037e+02 -1.986065153378181947e+01 2.603873992784865621e+01
7.807193170000000464e+02 -4.351514312261777206e+01 2.594063128165398524e+01
7.807207059999999501e+02 -6.482449235519180775e+01 2.595786261727167243e+01
7.807221060000000534e+02 -9.486621842965730877e+01 2.610146800891932983e+01
7.807235180000000128e+02 -1.886511242856798276e+00 2.625771482871501306e+01
7.807249299999999721e+02 -4.490500514681799871e+01 2.630041338096371817e+01
7.807263540000000148e+02 -7.875572285576755860e+01 2.624143994028349880e+01
7.807277659999999742e+02 2.662053875192980001e+01 2.622924331221413752e+01
7.807291780000000472e+02 -5.617916865607718080e+01 2.643964679823983843e+01
7.807305900000000065e+02 -9.502042438933698065e+01 2.696740373779881139e+01
7.807319909999999936e+02 -7.732175962480143028e+01 2.765263084448510966e+01
7.807334029999999530e+02 -4.745582128098449459e+01 2.818378373462741138e+01
7.807348150000000260e+02 -8.506913292929068859e+01 2.838700873982940465e+01
7.807362150000000156e+02 1.062033215766784622e+01 2.882561527042084393e+01
7.807376389999999446e+02 -6.080086310291950724e+01 3.118179820778845013e+01
7.807390629999999874e+02 -1.216698832749368222e+02 3.703593897427275294e+01
7.996720139999999901e+02 -4.690573303264095273e+01 4.104584759207591560e+01
7.996732990000000427e+02 9.379536599072608283e+00 3.312072604123184760e+01
7.996746070000000373e+02 -6.571818518514048435e+01 2.994123546586880380e+01
7.996758919999999762e+02 -1.190293301709211278e+02 2.918077265815575672e+01
7.996771880000000010e+02 -9.874795030553357833e+00 2.878440589891931722e+01
7.996784730000000536e+02 -1.576534040049519376e+02 2.822209693452793999e+01
7.996797810000000482e+02 -8.690375633914520392e+01 2.762905525219477454e+01
7.996810769999999593e+02 -1.896489345088717471e+01 2.727443295864588180e+01
7.996823729999999841e+02 -7.224489377951441327e+01 2.714913557854864479e+01
7.996836700000000064e+02 -1.834152885021579493e+01 2.708980592305789514e+01
7.996849780000000010e+02 -1.305545128623792834e+02 2.705568841394515189e+01
7.996862740000000258e+02 -4.214843413689651186e+01 2.706153539090547966e+01
7.996875700000000506e+02 -1.030854217014341145e+01 2.700358809331994436e+01
7.996888780000000452e+02 -7.036414829837747220e+01 2.682892348126495818e+01
7.996901629999999841e+02 -8.502629114938380894e+01 2.672606527386960806e+01
7.996914470000000392e+02 -8.905120290953071560e+01 2.684260225926566790e+01
7.996927550000000338e+02 -8.163929362836738335e+01 2.705537861586605430e+01
7.996940290000000005e+02 -7.988620842663958399e+01 2.721995517509833462e+01
7.996953359999999975e+02 -2.854518446946609345e+01 2.738860751976913122e+01
7.996966210000000501e+02 -7.277416352314172343e+01 2.758180545281796014e+01
7.996979290000000447e+02 -6.621443827938215065e+01 2.779464090871921300e+01
7.996992249999999558e+02 -8.753382258070001853e+01 2.794199511164367067e+01
7.997004980000000387e+02 -5.504666462824095419e+01 2.795184536892350735e+01
7.997018289999999752e+02 -3.821719910017749555e+01 2.774230067642314168e+01
7.997031030000000555e+02 -1.067921763317106354e+01 2.732384590305962391e+01
7.997044220000000223e+02 -1.482121281904031775e+02 2.678960484259359731e+01
7.997057180000000471e+02 -9.944471947666544054e+01 2.625285630443939056e+01
7.997070029999999861e+02 -2.119612792459604123e+01 2.582701129283924857e+01
7.997082880000000387e+02 -6.599272702776225685e+01 2.561290874086817837e+01
7.997096070000000054e+02 -5.715598432148850350e+01 2.558346261189250015e+01
7.997108919999999443e+02 1.671363403940182479e+01 2.563757753218733981e+01
7.997122110000000248e+02 -1.104513154477969579e+02 2.570601870346375861e+01
7.997134959999999637e+02 -7.428245208715094350e+01 2.576462409111871210e+01
7.997147929999999860e+02 -1.272122369653015710e+02 2.577837604382525782e+01
7.997161119999999528e+02 -6.359749368521711688e+01 2.574303764471472533e+01
7.997173970000000054e+02 -3.272834660946374186e+01 2.566572274472104453e+01
7.997186930000000302e+02 -8.848072991257502906e+01 2.561065433618291465e+01
7.997199890000000551e+02 9.441051621548822936e+00 2.556920753405313462e+01
7.997212970000000496e+02 -4.231947255838126409e+01 2.552430874660053206e+01
7.997225819999999885e+02 -8.825959018038308557e+01 2.544812597651974428e+01
7.997238899999999830e+02 -1.009217531286602139e+02 2.531645481325965719e+01
7.997251750000000357e+02 -8.351629740573073946e+01 2.514408312395216427e+01
7.997264709999999468e+02 -1.108429771189409365e+02 2.497631811985233696e+01
7.997277669999999716e+02 -2.132674135699876672e+01 2.483709548912237608e+01
7.997290400000000545e+02 -8.435674580639066278e+01 2.470818915987851128e+01
7.997303480000000491e+02 -6.575758752068092861e+01 2.463321998822780756e+01
7.997316560000000436e+02 -2.996297775657778573e+01 2.470995737259995195e+01
7.997329409999999825e+02 -5.735031017386681640e+01 2.498460952397573465e+01
7.997342599999999493e+02 -8.453607466946742477e+01 2.532489762809678524e+01
7.997355450000000019e+02 -4.845090842587789837e+01 2.563821328907173935e+01
