1 & 47.4389281242132	& 0.00104766336541078 	& 0.933407892854552 \\
2 & 53.6917437347832	& 0.00104810145644664 	& 0.17973678606528 \\
3 & 50.4918328527243	& 0.000940131246111008 	& 0.325090577428843 \\
4 & 54.2374373358501	& 0.000568062133430633 	& 0.568550540333037 \\
5 & 39.0630384846566	& 0.000441630623509922 	& 0.862520765101938 \\
6 & 46.5430190726247	& 0.000414440858710856 	& 0.758241008571595 \\
7 & 48.9187756050412	& 0.000229820989134337 	& 0.594332460459338 \\
8 & 43.5277916144955	& 0.000217325978379162 	& 0.750606486571738 \\
9 & 47.2838555204175	& 0.000174657217647018 	& 0.283975348436695 \\
10 & 57.4520885552008	& 0.000162795430047611 	& 0.203493003548066 \\
11 & 34.7604132345712	& 0.000142806762068917 	& 0.913922272873133 \\
12 & 38.1291111139434	& 0.000133331671922548 	& 0.789453519559644 \\
13 & 45.2695666233941	& 0.000121932985090227 	& 0.705022058317906 \\
14 & 51.4962465173092	& 0.000118137288215668 	& 0.326524240899965 \\
15 & 47.2701906959925	& 0.000107769771825851 	& 0.110734180823751 \\
16 & 53.8546332695757	& 8.9547904753211e-05 	& 0.419033552235186 \\
17 & 49.712500489261	& 7.74738129882143e-05 	& 0.218221136199917 \\
18 & 50.8310228939684	& 8.67651467250264e-05 	& 0.611554403782061 \\ 
19 & 43.8288478018946	& 8.29187244486986e-05 	& 0.0677955936945324 \\
20 & 65.1349189030072	& 8.23764534522504e-05 	& 0.287517425378078 \\
21 & 44.6833961306759	& 8.25191665309288e-05 	& 0.151318146024165 \\
22 & 49.5592561060631	& 7.922924381486e-05 	& 0.296894729386935 \\
23 & 42.0352422521999	& 7.72218819195391e-05 	& 0.172656217553586 \\
24 & 41.6502783362316	& 7.27021238939439e-05 	& 0.850070606160971 \\
25 & 48.1377515265243	& 6.18795067598971e-05 	& 0.744474920833933 \\
26 & 45.9003393040004	& 6.37289664115794e-05 	& 0.896098730274155 \\
27 & 50.2686352383402	& 5.60334630492411e-05 	& 0.228104125917819 \\
28 & 75.6781490102674	& 5.1000521806446e-05 	& 0.416153266569201 \\
29 & 58.3472238844961	& 4.11572309038272e-05 	& 0.117065390403315 \\
30 & 54.2283135692186	& 6.22159963838465e-05 	& 0.411233469286071 \\
31 & 45.4368965257832	& 4.86369158152546e-05 	& 0.909823692513899 \\
32 & 54.4624994719979	& 4.77174253587724e-05 	& 0.19790669345494 \\
33 & 53.5523151908929	& 3.78288644374749e-05 	& 0.143498165823543 \\
34 & 42.1729380191696	& 4.43458577948395e-05 	& 0.55713494496817 \\
35 & 58.2512150812401	& 4.06241649645068e-05 	& 0.309455177668006 \\
36 & 42.3959849371586	& 3.98839820660452e-05 	& 0.161911415421121 \\
37 & 52.9222776485748	& 3.9864200465295e-05 	& 0.541271740250402 \\
38 & 53.6898529537361	& 0.000174077453755681 	& 0.607315974549958 \\
39 & 57.0483529086911	& 3.18386586798005e-05 	& 0.927739946507232 \\
40 & 50.645536414558	 & 3.29997929704434e-05 	& 0.0500286626705481 \\
41 & 37.4786372545313	& 3.33631941640299e-05 	& 0.635805681395349 \\ 
42 & 69.3752036497943	& 3.27137887676879e-05 	& 0.35675383468427 \\
43 & 41.3189297056765	& 3.26809139593823e-05 	& 0.422278210196658 \\
44 & 61.4460929598323	& 3.24783934135125e-05 	& 0.434138671647922 \\
45 & 22.8145349753273	& 3.07483622418551e-05 	& 0.945894433935484 \\
46 & 64.6153827526932	& 2.95803538120818e-05 	& 0.763341697866871 \\
47 & 71.0440887658162	& 3.58204353913771e-05 	& 0.0160997416330956 \\
48 & 52.3034068952982	& 3.08195119109569e-05 	& 0.909217037142064 \\
49 & 47.4101389384241	& 3.53586445089022e-05 	& 0.914371880081593 \\
50 & 76.3167494914469	& 2.9705634954286e-05 	& 0.897721851891489 \\
51 & 45.3552993435206	& 2.83679358133155e-05 	& 0.306683855226725 \\
52 & 53.4990999968574	& 3.12989660194567e-05 	& 0.764417944938354 \\
53 & 69.5525979976291	& 2.68095611443629e-05 	& 0.686748134850709 \\
54 & 56.1098843566437	& 2.57229348204651e-05 	& 0.00455889820560431 \\
