Photometry,Sector,Frequency,PSD
TESS_18_0,All,"[0.00000000e+00 3.85576499e-02 7.71152997e-02 ... 3.04258415e+02
 3.04296973e+02 3.04335530e+02]","[2.0185516e+00 7.6777555e+06 6.0669916e+07 ... 2.8578198e+03 1.5204475e+03
 2.5864265e+03]"
TESS_18_1,All,"[0.00000000e+00 3.85394907e-02 7.70789814e-02 ... 3.39725610e+02
 3.39764150e+02 3.39802689e+02]","[1.1145970e+00 4.5799653e+03 1.0149003e+05 ... 6.4979822e+02 1.8375588e+03
 5.1654645e+02]"
TESS_18_19,All,"[0.00000000e+00 1.28059820e-02 2.56119640e-02 ... 2.89965850e+02
 2.89978656e+02 2.89991462e+02]","[3.32813807e-38 2.37777770e-08 2.63933189e-08 ... 2.50798258e-11
 2.00428487e-11 1.75874800e-10]"
TESS_18_19,Sector1,"[0.00000000e+00 3.85477442e-02 7.70954884e-02 ... 3.12892040e+02
 3.12930587e+02 3.12969135e+02]","[2.84489582e-40 1.49398530e-09 1.02697136e-09 ... 6.50709591e-11
 1.65735873e-10 6.97883106e-11]"
TESS_18_19,Sector2,"[0.00000000e+00 4.59303648e-02 9.18607295e-02 ... 2.92346772e+02
 2.92392702e+02 2.92438632e+02]","[5.62505448e-39 1.72098925e-07 5.48676710e-08 ... 2.18103441e-11
 2.00016612e-11 5.50820528e-11]"
TESS_18_19,Sector3,"[0.00000000e+00 4.09051165e-02 8.18102330e-02 ... 3.33622130e+02
 3.33663035e+02 3.33703940e+02]","[2.48682234e-38 1.07410262e-09 8.31711350e-10 ... 2.62853464e-12
 1.87749365e-11 6.36060531e-11]"
TESS_18_2,All,"[0.00000000e+00 4.59303648e-02 9.18607295e-02 ... 3.40389933e+02
 3.40435864e+02 3.40481794e+02]","[4.3335733e+00 2.2753740e+04 4.1784165e+06 ... 6.4007935e+02 4.9969509e+01
 2.7198953e+03]"
TESS_19,All,"[0.00000000e+00 4.08935003e-02 8.17870005e-02 ... 3.34467939e+02
 3.34508832e+02 3.34549726e+02]","[2.0379841e+00 1.3687045e+04 1.9979680e+04 ... 3.5106870e+02 8.4626355e+02
 9.0274207e+02]"
TESS_20_0,All,"[0.00000000e+00 3.88054836e-02 7.76109673e-02 ... 3.39742009e+02
 3.39780815e+02 3.39819620e+02]","[1.5192347e+00 2.2527344e+05 1.8214189e+05 ... 1.2880037e+03 1.8083661e+03
 1.0627788e+02]"
TESS_20_0,Sector1,"[0.00000000e+00 8.67672608e-02 1.73534522e-01 ... 3.59303227e+02
 3.59389994e+02 3.59476762e+02]","[2.8445342e+00 9.0151906e+04 2.6429606e+05 ... 1.8026105e+02 2.7312288e+03
 7.7308624e+02]"
TESS_20_0,Sector2,"[0.00000000e+00 7.79557126e-02 1.55911425e-01 ... 3.59453791e+02
 3.59531746e+02 3.59609702e+02]","[2.7663659e-03 6.6302609e+04 6.9347242e+04 ... 1.6478452e+02 2.3849979e+02
 1.3540145e+03]"
TESS_20_1,All,"[0.00000000e+00 3.87016824e-02 7.74033648e-02 ... 3.37749582e+02
 3.37788284e+02 3.37826985e+02]","[7.5868838e-02 4.9200191e+04 1.9001010e+04 ... 1.6475906e+02 2.8913742e+02
 2.6127740e+02]"
TESS_20_1,Sector1,"[0.00000000e+00 8.24369062e-02 1.64873812e-01 ... 3.59507348e+02
 3.59589785e+02 3.59672222e+02]","[8.4293258e-01 5.8191734e+04 8.4035112e+05 ... 6.0354077e+02 4.6425873e+02
 7.3452289e+02]"
TESS_20_1,Sector2,"[0.00000000e+00 8.23902482e-02 1.64780496e-01 ... 3.59468653e+02
 3.59551043e+02 3.59633434e+02]","[1.3921912e+00 7.3670414e+04 1.9702836e+06 ... 9.6282117e+02 2.4340414e+02
 2.4704168e+01]"
TESS_21,All,"[0.00000000e+00 4.01972904e-02 8.03945808e-02 ... 3.36531715e+02
 3.36571912e+02 3.36612110e+02]","[1.0224527e+01 5.0132227e+03 2.6909141e+05 ... 1.7123563e+03 4.4873221e+02
 9.7208514e+02]"
TESS_21,Sector1,"[0.00000000e+00 8.48570856e-02 1.69714171e-01 ... 3.59539472e+02
 3.59624329e+02 3.59709186e+02]","[2.0837428e-02 1.4988606e+05 1.4220905e+05 ... 5.3510217e+02 5.3220728e+02
 1.8334564e+02]"
TESS_21,Sector2,"[0.00000000e+00 8.67175180e-02 1.73435036e-01 ... 3.58403502e+02
 3.58490219e+02 3.58576937e+02]","[8.8150454e-01 5.7004769e+05 1.4675251e+06 ... 4.1253140e+02 1.6332792e+03
 8.5599292e+02]"
