Photometry,Sector,RV group,Frequency,PSD
TESS_18_0,All,544.4,0.0,1.6826051369528983e-37
TESS_18_0,All,544.4,6.128201984905138,5.063584647283012e-06
TESS_18_0,All,544.4,12.256403969810275,1.8126666121912334e-06
TESS_18_0,All,544.4,18.38460595471541,1.6755689635934445e-06
TESS_18_0,All,544.4,24.51280793962055,1.5524454003660168e-08
TESS_18_0,All,544.4,30.64100992452569,1.0168025089813682e-07
TESS_18_0,All,544.4,36.76921190943082,4.7810226329716e-07
TESS_18_0,All,544.4,42.89741389433596,1.6589840580774084e-07
TESS_18_0,All,544.4,49.0256158792411,6.713889660584448e-07
TESS_18_0,All,544.4,55.15381786414624,4.4030204439141503e-07
TESS_18_0,All,544.4,61.28201984905138,3.970649120114652e-07
TESS_18_0,All,544.4,67.41022183395651,2.2199120020369377e-06
TESS_18_0,All,544.4,73.53842381886165,1.2281743895355e-07
TESS_18_0,All,544.4,79.66662580376679,7.797144162809925e-06
TESS_18_0,All,544.4,85.79482778867192,3.5276117064439573e-06
TESS_18_0,All,544.4,91.92302977357707,1.594331538019627e-05
TESS_18_0,All,544.4,98.0512317584822,1.6369771274226564e-06
TESS_18_0,All,544.4,104.17943374338734,1.8874701843442852e-06
TESS_18_0,All,544.4,110.30763572829248,1.335085762775598e-05
TESS_18_0,All,544.4,116.43583771319761,1.1651182548741293e-05
TESS_18_0,All,544.4,122.56403969810276,1.9180009750976183e-05
TESS_18_0,All,544.4,128.6922416830079,4.410088657091858e-07
TESS_18_0,All,544.4,134.82044366791303,1.3285987046554271e-06
TESS_18_0,All,544.4,140.94864565281816,1.3117217508438415e-06
TESS_18_0,All,544.4,147.0768476377233,5.006774833358405e-07
TESS_18_0,All,544.4,153.20504962262845,2.9220559742249234e-06
TESS_18_0,All,544.4,159.33325160753358,1.8749232440366223e-05
TESS_18_0,All,544.4,165.46145359243872,1.4526388614518779e-05
TESS_18_0,All,544.4,171.58965557734385,5.462994677446111e-06
TESS_18_0,All,544.4,177.71785756224898,4.344121423293808e-06
TESS_18_0,All,544.4,183.84605954715414,5.6693775545075e-06
TESS_18_0,All,544.4,189.97426153205927,3.0533403550359138e-06
TESS_18_0,All,544.4,196.1024635169644,4.5501470128913765e-06
TESS_18_0,All,544.4,202.23066550186954,2.6183090989321235e-06
TESS_18_0,All,544.4,208.35886748677467,1.0468806912555367e-05
TESS_18_0,All,544.4,214.48706947167983,3.903288424749091e-06
TESS_18_0,All,544.4,220.61527145658496,2.5454504909093184e-05
