Photometry,Sector,Frequency,PSD
TESS_18_0,All,"[0.00000000e+00 3.85576499e-02 7.71152997e-02 ... 3.04258415e+02
 3.04296973e+02 3.04335530e+02]","[3.09918924e-30 1.81694911e-01 1.43323751e+00 ... 2.59685998e+02
 1.14793013e+02 1.52595890e+02]"
TESS_18_1,All,"[0.00000000e+00 3.85394907e-02 7.70789814e-02 ... 3.39725610e+02
 3.39764150e+02 3.39802689e+02]","[1.87893318e-29 1.53358527e-01 3.83959123e+00 ... 4.35578589e+02
 4.52584836e+02 3.10941661e+02]"
TESS_18_19,All,"[0.00000000e+00 1.28059820e-02 2.56119640e-02 ... 2.89965850e+02
 2.89978656e+02 2.89991462e+02]","[1.20357050e-41 8.75318031e-14 9.77000212e-14 ... 3.05340156e-12
 2.16831754e-12 8.20255576e-11]"
TESS_18_19,Sector1,"[0.00000000e+00 3.85477442e-02 7.70954884e-02 ... 3.12892040e+02
 3.12930587e+02 3.12969135e+02]","[1.33678280e-42 2.30960954e-14 2.62572905e-14 ... 1.20934014e-11
 3.46892203e-11 1.99124941e-11]"
TESS_18_19,Sector2,"[0.00000000e+00 4.59303648e-02 9.18607295e-02 ... 2.92346772e+02
 2.92392702e+02 2.92438632e+02]","[3.05511883e-42 4.75060629e-13 1.53407562e-13 ... 9.40025728e-12
 7.44585153e-12 2.49533674e-11]"
TESS_18_19,Sector3,"[0.00000000e+00 4.09051165e-02 8.18102330e-02 ... 3.33622130e+02
 3.33663035e+02 3.33703940e+02]","[1.40272323e-41 6.14793593e-16 1.57806276e-15 ... 8.28933770e-13
 8.04104179e-12 9.02590034e-12]"
TESS_18_2,All,"[0.00000000e+00 4.59303648e-02 9.18607295e-02 ... 3.40389933e+02
 3.40435864e+02 3.40481794e+02]","[1.89295215e-27 9.92644252e-02 1.66078004e+01 ... 1.49943735e+02
 4.79514159e+01 8.67258117e+02]"
TESS_19,All,"[0.00000000e+00 4.08935003e-02 8.17870005e-02 ... 3.34467939e+02
 3.34508832e+02 3.34549726e+02]","[1.08801724e-27 5.22398975e-02 1.28884610e-01 ... 1.61296409e+02
 1.65899322e+02 2.80327562e+02]"
TESS_20_0,All,"[0.00000000e+00 3.88054836e-02 7.76109673e-02 ... 3.39742009e+02
 3.39780815e+02 3.39819620e+02]","[5.08476744e-27 7.82555636e+00 7.00532060e+00 ... 6.63031282e+02
 1.19493086e+03 4.78381187e+00]"
TESS_20_0,Sector1,"[0.00000000e+00 8.67672608e-02 1.73534522e-01 ... 3.59303227e+02
 3.59389994e+02 3.59476762e+02]","[1.24937350e-28 3.14077923e+00 9.55580072e+00 ... 4.37692790e+02
 1.44146481e+03 4.78649449e+02]"
TESS_20_0,Sector2,"[0.00000000e+00 7.79557126e-02 1.55911425e-01 ... 3.59453791e+02
 3.59531746e+02 3.59609702e+02]","[7.17883288e-29 2.97433512e+00 3.11160136e+00 ... 5.61120595e+01
 1.21052520e+02 7.49218208e+02]"
TESS_20_1,All,"[0.00000000e+00 3.87016824e-02 7.74033648e-02 ... 3.37749582e+02
 3.37788284e+02 3.37826985e+02]","[5.43058816e-28 1.16716301e+00 7.39131435e-01 ... 1.29208571e+02
 6.35429975e+01 2.12466028e+02]"
TESS_20_1,Sector1,"[0.00000000e+00 8.24369062e-02 1.64873812e-01 ... 3.59507348e+02
 3.59589785e+02 3.59672222e+02]","[1.03291545e-28 3.17451163e+00 4.83818882e+01 ... 2.45553096e+02
 6.23083546e+02 3.36275149e+02]"
TESS_20_1,Sector2,"[0.00000000e+00 8.23902482e-02 1.64780496e-01 ... 3.59468653e+02
 3.59551043e+02 3.59633434e+02]","[5.26813081e-29 9.59492696e-01 2.21424385e+01 ... 4.61529560e+02
 5.89218751e+01 8.01004426e+01]"
TESS_21,All,"[0.00000000e+00 4.01972904e-02 8.03945808e-02 ... 3.36531715e+02
 3.36571912e+02 3.36612110e+02]","[4.22571445e-27 1.35939038e-02 5.04406129e-01 ... 5.08928094e+02
 2.22925116e+02 4.44658149e+02]"
TESS_21,Sector1,"[0.00000000e+00 8.48570856e-02 1.69714171e-01 ... 3.59539472e+02
 3.59624329e+02 3.59709186e+02]","[2.08530114e-27 4.76500023e+00 4.09923287e+00 ... 3.63452477e+02
 3.74726325e+02 1.18348877e+02]"
TESS_21,Sector2,"[0.00000000e+00 8.67175180e-02 1.73435036e-01 ... 3.58403502e+02
 3.58490219e+02 3.58576937e+02]","[3.13808720e-31 2.56664093e-01 6.34344291e-01 ... 9.67249046e+01
 2.19254578e+02 2.08005014e+02]"
