Photometry,Sector,Time,Value
TESS_18_19,All,"[1437.99844411 1437.99983301 1438.00122192 ... 1516.08417223 1516.08556108
 1516.08694993]","[ 7.89938108e-06 -3.22869553e-05  4.71203674e-05 ... -1.77682995e-05
  2.67716167e-05 -1.71995630e-05]"
TESS_18_19,Sector1,"[1437.99844411 1437.99983301 1438.00122192 ... 1463.93752159 1463.93891048
 1463.94029936]","[ 8.74705663e-06 -4.07183601e-05  5.80394691e-05 ... -4.56115789e-06
  7.43943066e-06 -5.80236538e-06]"
TESS_18_19,Sector2,"[1468.273639   1468.27502789 1468.27641678 ... 1490.04295049 1490.04433936
 1490.04572823]","[-1.13919649e-05  2.08910558e-05 -4.01255662e-06 ... -1.94607635e-05
 -1.06702637e-05  5.86656886e-06]"
TESS_18_19,Sector3,"[1491.64013043 1491.64151931 1491.64290819 ... 1516.08417223 1516.08556108
 1516.08694993]","[ 2.77090986e-06 -1.57671837e-05  4.15986304e-05 ... -1.52907549e-05
  2.12989589e-05 -1.30490211e-05]"
TESS_18_0,All,"[1410.90352425 1410.90491317 1410.90630209 ... 1436.83593708 1436.83732599
 1436.83871489]","[-21.46333649  32.42332863 -25.73663207 ... -25.64819056  51.29965454
 -29.77701645]"
TESS_18_1,All,"[1437.99288848 1437.99427738 1437.99566629 ... 1463.93752159 1463.93891048
 1463.94029936]","[  90.51742598 -128.39350461  -19.90877206 ...   36.78706276  -40.63634487
   36.68535414]"
TESS_18_2,All,"[1468.273639   1468.27502789 1468.27641678 ... 1490.04295049 1490.04433936
 1490.04572823]","[  74.6674009  -131.74214357   24.79488778 ...  105.99883471   69.55602256
  -32.03120016]"
TESS_19,All,"[1491.63318605 1491.63457493 1491.6359638  ... 1516.08417223 1516.08556108
 1516.08694993]","[ -25.78469623   11.60866065 -117.15742234 ...   92.43568459 -147.51880174
   98.01079822]"
TESS_20_0,All,"[2174.23010488 2174.23149379 2174.23427161 ... 2199.99688096 2199.99826984
 2199.99965872]","[  645.82648445 -1021.28418459   729.3181723  ...  -235.69744688
   154.19419855   -37.44434939]"
TESS_20_0,Sector1,"[2174.23010488 2174.23149379 2174.23427161 ... 2185.75241145 2185.75380035
 2185.75518924]","[ 628.6758228  -994.99643145  711.49606721 ...  -10.09483597 -112.37577465
  151.52774675]"
TESS_20_0,Sector2,"[2187.17186244 2187.17325134 2187.17464024 ... 2199.99688096 2199.99826984
 2199.99965872]","[  89.6903693    49.56449813 -188.10521702 ... -237.6190007   155.56325847
  -37.9220105 ]"
TESS_20_1,All,"[2201.7343791  2201.73715688 2201.73854577 ... 2227.57027138 2227.57166025
 2227.57304911]","[  79.61044746 -117.47692158  208.28172042 ... -465.89230882  249.32626306
  -78.7467148 ]"
TESS_20_1,Sector1,"[2201.7343791  2201.73715688 2201.73854577 ... 2213.86209054 2213.86347942
 2213.86486829]","[ 100.73744017 -122.18452374  225.09612453 ...  793.29335853 -873.62407744
  462.0402387 ]"
TESS_20_1,Sector2,"[2215.43569037 2215.43707925 2215.43846813 ... 2227.57027138 2227.57166025
 2227.57304911]","[ -75.08463459  173.66559829 -217.43355277 ... -439.95840472  229.52204332
  -66.3916832 ]"
TESS_21,All,"[2229.12164582 2229.12303469 2229.12442357 ... 2253.99616681 2253.99755567
 2253.99894452]","[  11.81879129    0.4415298   -46.81023053 ...  389.55772603 -285.67715467
   99.22137281]"
TESS_21,Sector1,"[2229.12164582 2229.12303469 2229.12442357 ... 2240.90338783 2240.90477669
 2240.90616555]","[  78.35902557  -53.43979293  -95.85984759 ... -145.82592215  -10.59415563
   62.48006479]"
TESS_21,Sector2,"[2242.46724916 2242.46863802 2242.47002689 ... 2253.99616681 2253.99755567
 2253.99894452]","[   8.03477717   -7.59237565  -20.27130637 ...  234.67472572 -178.37887187
   67.35338912]"
