Photometry,Sector,Time,Value
TESS_18_0,All,"[1411.06852425 1411.39852425 1411.72852425 1412.05852425 1412.38852425
 1412.71852425 1413.04852425 1413.37852425 1413.70852425 1414.03852425
 1414.36852425 1414.69852425 1415.02852425 1415.35852425 1415.68852425
 1416.01852425 1416.34852425 1416.67852425 1417.00852425 1417.33852425
 1417.66852425 1417.99852425 1418.32852425 1418.65852425 1418.98852425
 1419.31852425 1419.64852425 1419.97852425 1420.30852425 1420.63852425
 1420.96852425 1421.29852425 1421.62852425 1421.95852425 1422.28852425
 1422.61852425 1422.94852425 1423.27852425 1423.60852425 1423.93852425
 1424.26852425 1424.59852425 1424.92852425 1425.25852425 1425.58852425
 1425.91852425 1426.24852425 1426.57852425 1426.90852425 1427.23852425
 1427.56852425 1427.89852425 1428.22852425 1428.55852425 1428.88852425
 1429.21852425 1429.54852425 1429.87852425 1430.20852425 1430.53852425
 1430.86852425 1431.19852425 1431.52852425 1431.85852425 1432.18852425
 1432.51852425 1432.84852425 1433.17852425 1433.50852425 1433.83852425
 1434.16852425 1434.49852425 1434.82852425 1435.15852425 1435.48852425
 1435.81852425 1436.14852425 1436.47852425 1436.80852425]","[-2.51228412e-01 -5.98920049e-01 -4.31312605e-01 -9.95295351e-01
 -6.60826767e-01 -7.38854707e-01 -7.15873447e-01  1.70813300e-03
 -5.85569470e-01  3.73597733e-01 -4.05817700e-01  6.01490781e-01
  8.93720209e-03  1.93557269e-01 -1.46655534e-01 -9.02628476e-02
 -1.82835129e-01 -7.27318934e-02  1.82007569e+00 -9.83403479e-01
  5.69468568e-01  2.09927083e-01  2.57602934e-02             nan
             nan             nan             nan             nan
             nan             nan             nan -2.63154710e+00
  5.78280269e+00 -1.62768939e+00 -1.56035454e+00 -7.25609338e-01
  2.42939687e-01  8.27850751e-01 -1.82446201e-01             nan
             nan  1.59441952e+00  1.09388102e+00  1.22716645e-01
 -1.42228097e-01 -3.93563767e-01 -3.06247504e-01 -6.53156896e-01
 -3.31739070e-01 -7.11916880e-02 -1.81251425e-01 -2.39785636e-01
  1.86113292e-01 -1.83610357e-01 -2.50865580e-01 -7.01693624e-02
 -1.73340740e-01 -2.10668477e-01 -5.38687098e-01  1.61356391e-02
 -3.86596524e-01 -6.47301452e-01 -1.05265061e-01 -3.67147242e-01
 -6.35884790e-01 -2.25272488e-01 -3.13500347e-01 -2.64932173e-02
  2.13741465e-01 -1.95222715e-01  3.26300395e-01  1.09679499e-01
  6.05985742e-01  5.84634192e-01  8.65895383e-01  9.14293373e-01
  1.63583268e+00  1.71858147e+00  1.29217181e+00]"
TESS_18_1,All,"[1438.15788848 1438.48788848 1438.81788848 1439.14788848 1439.47788848
 1439.80788848 1440.13788848 1440.46788848 1440.79788848 1441.12788848
 1441.45788848 1441.78788848 1442.11788848 1442.44788848 1442.77788848
 1443.10788848 1443.43788848 1443.76788848 1444.09788848 1444.42788848
 1444.75788848 1445.08788848 1445.41788848 1445.74788848 1446.07788848
 1446.40788848 1446.73788848 1447.06788848 1447.39788848 1447.72788848
 1448.05788848 1448.38788848 1448.71788848 1449.04788848 1449.37788848
 1449.70788848 1450.03788848 1450.36788848 1450.69788848 1451.02788848
 1451.35788848 1451.68788848 1452.01788848 1452.34788848 1452.67788848
 1453.00788848 1453.33788848 1453.66788848 1453.99788848 1454.32788848
 1454.65788848 1454.98788848 1455.31788848 1455.64788848 1455.97788848
 1456.30788848 1456.63788848 1456.96788848 1457.29788848 1457.62788848
 1457.95788848 1458.28788848 1458.61788848 1458.94788848 1459.27788848
 1459.60788848 1459.93788848 1460.26788848 1460.59788848 1460.92788848
 1461.25788848 1461.58788848 1461.91788848 1462.24788848 1462.57788848
 1462.90788848 1463.23788848 1463.56788848 1463.89788848]","[ 3.58659794e+00  5.84573652e-01 -3.33844140e+00  1.76971802e+00
 -2.56906072e+00  2.71260233e-03  2.16626668e+00  1.61748615e+00
  8.54556424e-01  2.38513885e+00  3.96917983e+00  4.31835289e-01
  6.87007216e-01 -5.56074756e+00 -2.98849482e-01 -3.50778295e+00
 -8.17230597e-01 -1.63100267e+00  7.47741815e-01  3.70178555e-01
  8.60863023e-01  1.18353563e+00  3.31374066e-01 -2.52458514e-01
 -8.66431399e-01 -1.24053134e+00 -2.89969135e-01  1.31279287e-01
 -6.19209961e-01 -1.86977310e+00 -8.20047366e-02 -1.37488517e+00
 -7.95857277e-01 -5.34106730e-01  1.50758021e+00  3.00711366e+00
  3.89174740e+00             nan             nan             nan
             nan  7.05478946e+00 -1.10435707e+00 -3.04327354e+00
 -6.89527300e-01  9.86274598e-02 -4.73452379e-01  1.45447049e+00
  2.78519150e-01  9.29271158e-01  6.81005701e-01 -4.93404221e-01
 -4.86659428e-01 -5.39211122e+00 -3.92248417e+00  2.74659923e-01
  2.34505755e+00 -8.02176640e-01  7.71751502e-01 -1.57166749e+00
  2.28374724e+00  3.72296732e+00  5.92314602e+00 -5.82572173e+00
 -9.16922241e+00 -5.60286785e-01  6.79520381e-01  7.96327627e-01
  1.92478299e+00 -4.00308894e-01  2.98732432e+00  7.14970062e-02
 -6.35541406e-01  2.22626938e+00  8.30257526e-01 -8.39039322e-01
 -1.16447630e+00 -1.08535049e+00  2.67463264e+00]"
TESS_18_19,All,"[1438.16344411 1438.49344411 1438.82344411 1439.15344411 1439.48344411
 1439.81344411 1440.14344411 1440.47344411 1440.80344411 1441.13344411
 1441.46344411 1441.79344411 1442.12344411 1442.45344411 1442.78344411
 1443.11344411 1443.44344411 1443.77344411 1444.10344411 1444.43344411
 1444.76344411 1445.09344411 1445.42344411 1445.75344411 1446.08344411
 1446.41344411 1446.74344411 1447.07344411 1447.40344411 1447.73344411
 1448.06344411 1448.39344411 1448.72344411 1449.05344411 1449.38344411
 1449.71344411 1450.04344411 1450.37344411 1450.70344411 1451.03344411
 1451.36344411 1451.69344411 1452.02344411 1452.35344411 1452.68344411
 1453.01344411 1453.34344411 1453.67344411 1454.00344411 1454.33344411
 1454.66344411 1454.99344411 1455.32344411 1455.65344411 1455.98344411
 1456.31344411 1456.64344411 1456.97344411 1457.30344411 1457.63344411
 1457.96344411 1458.29344411 1458.62344411 1458.95344411 1459.28344411
 1459.61344411 1459.94344411 1460.27344411 1460.60344411 1460.93344411
 1461.26344411 1461.59344411 1461.92344411 1462.25344411 1462.58344411
 1462.91344411 1463.24344411 1463.57344411 1463.90344411 1464.23344411
 1464.56344411 1464.89344411 1465.22344411 1465.55344411 1465.88344411
 1466.21344411 1466.54344411 1466.87344411 1467.20344411 1467.53344411
 1467.86344411 1468.19344411 1468.52344411 1468.85344411 1469.18344411
 1469.51344411 1469.84344411 1470.17344411 1470.50344411 1470.83344411
 1471.16344411 1471.49344411 1471.82344411 1472.15344411 1472.48344411
 1472.81344411 1473.14344411 1473.47344411 1473.80344411 1474.13344411
 1474.46344411 1474.79344411 1475.12344411 1475.45344411 1475.78344411
 1476.11344411 1476.44344411 1476.77344411 1477.10344411 1477.43344411
 1477.76344411 1478.09344411 1478.42344411 1478.75344411 1479.08344411
 1479.41344411 1479.74344411 1480.07344411 1480.40344411 1480.73344411
 1481.06344411 1481.39344411 1481.72344411 1482.05344411 1482.38344411
 1482.71344411 1483.04344411 1483.37344411 1483.70344411 1484.03344411
 1484.36344411 1484.69344411 1485.02344411 1485.35344411 1485.68344411
 1486.01344411 1486.34344411 1486.67344411 1487.00344411 1487.33344411
 1487.66344411 1487.99344411 1488.32344411 1488.65344411 1488.98344411
 1489.31344411 1489.64344411 1489.97344411 1490.30344411 1490.63344411
 1490.96344411 1491.29344411 1491.62344411 1491.95344411 1492.28344411
 1492.61344411 1492.94344411 1493.27344411 1493.60344411 1493.93344411
 1494.26344411 1494.59344411 1494.92344411 1495.25344411 1495.58344411
 1495.91344411 1496.24344411 1496.57344411 1496.90344411 1497.23344411
 1497.56344411 1497.89344411 1498.22344411 1498.55344411 1498.88344411
 1499.21344411 1499.54344411 1499.87344411 1500.20344411 1500.53344411
 1500.86344411 1501.19344411 1501.52344411 1501.85344411 1502.18344411
 1502.51344411 1502.84344411 1503.17344411 1503.50344411 1503.83344411
 1504.16344411 1504.49344411 1504.82344411 1505.15344411 1505.48344411
 1505.81344411 1506.14344411 1506.47344411 1506.80344411 1507.13344411
 1507.46344411 1507.79344411 1508.12344411 1508.45344411 1508.78344411
 1509.11344411 1509.44344411 1509.77344411 1510.10344411 1510.43344411
 1510.76344411 1511.09344411 1511.42344411 1511.75344411 1512.08344411
 1512.41344411 1512.74344411 1513.07344411 1513.40344411 1513.73344411
 1514.06344411 1514.39344411 1514.72344411 1515.05344411 1515.38344411
 1515.71344411 1516.04344411]","[-2.79969271e-07  1.32449649e-07  1.02800226e-07  1.19928404e-07
  1.34909755e-08  8.25221827e-08 -1.15749169e-07 -2.20512733e-09
  2.33181873e-08  1.09676823e-07 -2.51280815e-07 -1.56506815e-07
 -4.07482002e-08             nan  2.74767688e-07  1.34368433e-07
  3.72008986e-08  3.89181682e-08  1.39341968e-07 -1.47822220e-08
  5.13958153e-08 -8.59832344e-08  7.36812232e-09 -4.72131850e-08
  1.68293745e-07  1.43843868e-07  4.50856090e-08 -1.22621224e-07
  3.58036334e-08  3.16746144e-07 -2.89243639e-08 -1.10306191e-07
  4.45587669e-07  7.62423156e-08 -1.62853888e-07 -9.69735612e-08
 -2.92851174e-07             nan             nan             nan
             nan -3.91603150e-07  2.13649377e-07 -2.64358189e-08
  1.64426893e-07  1.55853200e-07 -4.12377248e-08 -1.39164803e-07
  1.96202745e-07 -3.31626247e-07  3.44949034e-07  1.27366555e-08
  5.04096731e-08  2.85288908e-07  3.65382395e-07  3.61226642e-08
 -2.78418800e-07  1.58348454e-07 -2.07472523e-08  1.98651999e-07
 -1.03898398e-07 -2.18103323e-07 -3.26295826e-07             nan
             nan             nan  6.53535940e-08 -1.81014365e-07
 -8.35355869e-08  8.78299169e-08 -5.58921067e-10 -4.73696703e-08
  1.31768277e-08  1.03985931e-08 -1.64811885e-08 -2.48314206e-08
 -6.32760730e-08  3.09584000e-07 -1.04907850e-07             nan
             nan             nan             nan             nan
             nan             nan             nan             nan
             nan             nan             nan -2.85262607e-07
  1.47954473e-08  2.13389396e-07  1.54474871e-07  4.11016868e-08
  1.59938508e-08 -3.38501720e-07 -4.65481627e-09 -4.60235425e-08
  3.29040626e-08 -3.09713174e-07 -1.96636782e-08  3.70642480e-08
 -4.09881309e-08  6.52352557e-09  7.79120837e-08 -9.30418144e-08
 -9.03750802e-08  1.14652009e-07 -1.85672562e-07  2.73476294e-07
 -7.82319560e-08  2.63730903e-07  2.16244722e-07  1.51002864e-07
  4.57911647e-07  5.20448503e-07  9.95150513e-08             nan
             nan -7.11190263e-07 -8.58212682e-08  9.36103262e-08
  1.60832794e-07  1.67399644e-07  2.47473693e-07  3.48043195e-07
  3.53995227e-08 -2.13533113e-08 -2.22517022e-07  1.48075928e-09
 -4.47933688e-08  7.59274547e-08 -1.96428598e-07 -1.62306939e-07
 -1.74923814e-07 -5.72347271e-07 -4.72271839e-07 -6.85132265e-07
 -2.21558686e-07 -4.45770123e-07 -5.94180107e-07 -7.55568975e-07
 -4.45013843e-07             nan             nan             nan
             nan             nan             nan             nan
 -7.55781001e-08 -9.62080501e-08 -1.71691805e-07 -3.72706121e-07
 -4.92242630e-07 -4.21608190e-07             nan             nan
             nan             nan  1.41454312e-08  2.55648635e-07
 -9.21261619e-08  4.55083638e-07  3.86758456e-08  1.91976098e-07
  1.09366850e-08  1.80882457e-07 -1.43814486e-07 -5.00364379e-08
  9.52335567e-09 -1.24159391e-09  3.76712117e-08 -9.87342343e-08
 -1.03159003e-07 -9.57350261e-08  8.03905596e-08  1.03472051e-07
  8.74821312e-08  3.07510799e-07  4.00106599e-07  3.14556510e-08
  3.33014817e-08  1.67525459e-08  1.54033790e-07 -3.08264929e-07
 -1.58577094e-07 -9.66747998e-08  7.67760043e-08  3.13243183e-08
  2.38599305e-07 -4.26965904e-08  7.24509398e-08  1.63710343e-07
 -1.82957589e-07  2.06836962e-06             nan             nan
             nan             nan  1.75482936e-07 -2.69375122e-08
  9.42651811e-09  6.45311377e-08  1.77833479e-07 -5.11505165e-08
 -6.47280794e-08 -2.05037907e-07 -7.54247341e-08 -2.97850688e-07
  1.48647846e-07 -7.85409162e-09  7.31464452e-07  2.47063697e-07
  1.70324070e-07  6.84611857e-08  2.45388972e-07 -6.08163482e-07
 -4.68919957e-07  3.93030305e-07  1.57133542e-08 -2.52095488e-07
  7.38205292e-07  2.42607315e-07  1.60277035e-08 -2.56561187e-07
 -2.95297825e-07 -5.83825837e-08 -2.39184130e-07  5.18956086e-07
 -1.28538547e-07 -9.41122018e-08 -9.60337710e-08  2.77798800e-07
  2.08443416e-07]"
TESS_18_19,Sector1,"[1438.16344411 1438.49344411 1438.82344411 1439.15344411 1439.48344411
 1439.81344411 1440.14344411 1440.47344411 1440.80344411 1441.13344411
 1441.46344411 1441.79344411 1442.12344411 1442.45344411 1442.78344411
 1443.11344411 1443.44344411 1443.77344411 1444.10344411 1444.43344411
 1444.76344411 1445.09344411 1445.42344411 1445.75344411 1446.08344411
 1446.41344411 1446.74344411 1447.07344411 1447.40344411 1447.73344411
 1448.06344411 1448.39344411 1448.72344411 1449.05344411 1449.38344411
 1449.71344411 1450.04344411 1450.37344411 1450.70344411 1451.03344411
 1451.36344411 1451.69344411 1452.02344411 1452.35344411 1452.68344411
 1453.01344411 1453.34344411 1453.67344411 1454.00344411 1454.33344411
 1454.66344411 1454.99344411 1455.32344411 1455.65344411 1455.98344411
 1456.31344411 1456.64344411 1456.97344411 1457.30344411 1457.63344411
 1457.96344411 1458.29344411 1458.62344411 1458.95344411 1459.28344411
 1459.61344411 1459.94344411 1460.27344411 1460.60344411 1460.93344411
 1461.26344411 1461.59344411 1461.92344411 1462.25344411 1462.58344411
 1462.91344411 1463.24344411 1463.57344411 1463.90344411]","[-5.36999773e-07  1.94357922e-07  2.00145462e-07  2.02873856e-07
 -1.31523639e-08  1.50184069e-07 -2.95016361e-07 -3.28747240e-08
 -4.20217736e-08  4.91407184e-08 -3.84298869e-07 -3.37253225e-07
 -2.85048211e-08             nan  3.79103210e-07  2.77550854e-07
  7.79007696e-08  9.54340462e-08  2.02594936e-07 -4.37034879e-08
  3.71478358e-08 -2.16217539e-07 -7.72507328e-09 -5.54709219e-08
  2.60709687e-07  2.55028183e-07  6.65027221e-08 -1.92981884e-07
  4.66501018e-08  5.03387250e-07 -2.77816209e-08 -1.62152471e-07
  6.84218552e-07  8.35006324e-08 -2.81909904e-07 -2.75681926e-07
 -5.50667102e-07             nan             nan             nan
             nan -8.26355455e-07  3.54530747e-07 -7.54835975e-09
  2.87135078e-07  2.11951997e-07 -5.91513901e-08 -2.56233042e-07
  2.66079640e-07 -5.07779702e-07  4.16169874e-07  9.05073400e-08
  1.42179454e-08  5.65668122e-07  7.21274792e-07 -3.98092168e-10
 -4.77643484e-07  1.97807326e-07 -4.93492462e-09  2.53287138e-07
 -1.82469150e-07 -4.46571375e-07 -7.03348813e-07             nan
             nan             nan  9.54903353e-09 -2.66714156e-07
 -1.77878615e-07  8.35647496e-08 -3.97245573e-08 -1.03456859e-07
 -2.29321218e-08 -6.29769864e-08 -8.21743848e-08 -2.00005262e-08
 -4.76056595e-08  4.70105132e-07 -2.37480142e-07]"
TESS_18_19,Sector2,"[1468.438639 1468.768639 1469.098639 1469.428639 1469.758639 1470.088639
 1470.418639 1470.748639 1471.078639 1471.408639 1471.738639 1472.068639
 1472.398639 1472.728639 1473.058639 1473.388639 1473.718639 1474.048639
 1474.378639 1474.708639 1475.038639 1475.368639 1475.698639 1476.028639
 1476.358639 1476.688639 1477.018639 1477.348639 1477.678639 1478.008639
 1478.338639 1478.668639 1478.998639 1479.328639 1479.658639 1479.988639
 1480.318639 1480.648639 1480.978639 1481.308639 1481.638639 1481.968639
 1482.298639 1482.628639 1482.958639 1483.288639 1483.618639 1483.948639
 1484.278639 1484.608639 1484.938639 1485.268639 1485.598639 1485.928639
 1486.258639 1486.588639 1486.918639 1487.248639 1487.578639 1487.908639
 1488.238639 1488.568639 1488.898639 1489.228639 1489.558639 1489.888639]","[ 6.02445882e-08  3.67394505e-07 -6.44177842e-08  8.02006499e-08
  1.80406322e-07 -2.14755242e-07 -1.09649449e-07  2.69712913e-07
  7.80905195e-08 -2.15271042e-07  4.85196232e-07 -3.00965048e-07
  6.48029789e-08  9.26137772e-08  2.34295652e-08  1.60524772e-07
 -1.21840687e-07 -1.13324108e-07  1.73592271e-07  1.91323180e-07
  1.49645371e-07  1.96968764e-07  2.62142791e-07  2.69976045e-07
  4.78136862e-08  7.21206012e-07  3.15134745e-07             nan
             nan -7.94621037e-07 -1.93802973e-08 -2.60753340e-08
  1.23882011e-07  3.72570003e-07  1.81434999e-07  3.80175496e-07
  2.12522444e-09  1.42221691e-07  3.13106586e-08 -7.25649062e-08
  9.84114838e-08  1.98390909e-07 -9.50920607e-08 -1.42675920e-07
 -8.31590105e-08 -3.84290844e-07 -3.69857889e-07 -4.81296776e-07
 -8.76561670e-08 -3.14344967e-07 -3.57719184e-07 -6.00711710e-07
 -3.83568583e-07             nan             nan             nan
             nan             nan             nan             nan
 -5.86247488e-07  1.89426670e-07 -1.49678572e-07 -6.88754513e-08
 -3.76066445e-07 -3.94604752e-07]"
TESS_18_19,Sector3,"[1491.80513043 1492.13513043 1492.46513043 1492.79513043 1493.12513043
 1493.45513043 1493.78513043 1494.11513043 1494.44513043 1494.77513043
 1495.10513043 1495.43513043 1495.76513043 1496.09513043 1496.42513043
 1496.75513043 1497.08513043 1497.41513043 1497.74513043 1498.07513043
 1498.40513043 1498.73513043 1499.06513043 1499.39513043 1499.72513043
 1500.05513043 1500.38513043 1500.71513043 1501.04513043 1501.37513043
 1501.70513043 1502.03513043 1502.36513043 1502.69513043 1503.02513043
 1503.35513043 1503.68513043 1504.01513043 1504.34513043 1504.67513043
 1505.00513043 1505.33513043 1505.66513043 1505.99513043 1506.32513043
 1506.65513043 1506.98513043 1507.31513043 1507.64513043 1507.97513043
 1508.30513043 1508.63513043 1508.96513043 1509.29513043 1509.62513043
 1509.95513043 1510.28513043 1510.61513043 1510.94513043 1511.27513043
 1511.60513043 1511.93513043 1512.26513043 1512.59513043 1512.92513043
 1513.25513043 1513.58513043 1513.91513043 1514.24513043 1514.57513043
 1514.90513043 1515.23513043 1515.56513043 1515.89513043 1516.22513043]","[ 1.07395371e-07 -4.95114028e-08 -1.68315302e-08  1.27944576e-07
  3.29048401e-07 -1.11495247e-07  4.15580913e-08 -2.26554578e-07
  1.62722743e-07 -3.11567476e-08 -1.77558499e-07  1.13927400e-07
 -1.80590554e-07 -1.96654906e-08 -5.36711972e-08 -9.69219017e-08
  4.98258728e-08  5.98141840e-08  9.77213904e-08  7.35706305e-08
  2.49934778e-07  7.63905915e-08 -1.12372827e-07 -9.42110557e-08
  8.86994491e-08 -1.13614665e-07 -1.35427166e-07 -5.97381153e-08
 -1.56808596e-07 -1.22932047e-08  2.35423309e-07 -7.85240267e-08
  5.64828895e-08 -6.22577170e-08  1.22507140e-07             nan
             nan             nan             nan  5.66456900e-09
  1.80949950e-07 -1.03637509e-07 -9.62654201e-08  1.37785919e-07
 -9.31432155e-08 -2.39628822e-08 -1.71979429e-07 -8.07204567e-08
 -3.85810616e-08 -1.04713188e-07  1.69164814e-08  2.68552977e-07
  2.25009204e-07  9.82926681e-08  3.14289248e-09  1.93083179e-09
 -1.51886144e-07 -2.63389425e-07 -1.51133201e-07  1.61743911e-07
 -2.83974485e-08  5.32687875e-08  2.06023168e-07  1.78684947e-08
  6.53586372e-09 -2.52377439e-07 -2.60448363e-07  9.67257698e-08
 -6.80724247e-08  1.40330670e-07  8.79132071e-09 -2.60413703e-07
  6.37961687e-08  1.38901032e-07  5.64846015e-07]"
TESS_18_2,All,"[1468.438639 1468.768639 1469.098639 1469.428639 1469.758639 1470.088639
 1470.418639 1470.748639 1471.078639 1471.408639 1471.738639 1472.068639
 1472.398639 1472.728639 1473.058639 1473.388639 1473.718639 1474.048639
 1474.378639 1474.708639 1475.038639 1475.368639 1475.698639 1476.028639
 1476.358639 1476.688639 1477.018639 1477.348639 1477.678639 1478.008639
 1478.338639 1478.668639 1478.998639 1479.328639 1479.658639 1479.988639
 1480.318639 1480.648639 1480.978639 1481.308639 1481.638639 1481.968639
 1482.298639 1482.628639 1482.958639 1483.288639 1483.618639 1483.948639
 1484.278639 1484.608639 1484.938639 1485.268639 1485.598639 1485.928639
 1486.258639 1486.588639 1486.918639 1487.248639 1487.578639 1487.908639
 1488.238639 1488.568639 1488.898639 1489.228639 1489.558639 1489.888639]","[ 2.71929575e-01 -1.66666946e+00  8.76377987e-01  7.16533792e-02
 -5.06031292e-01  1.88426755e+00  1.22025516e+00 -9.43648086e-01
  6.26326451e-02  1.75890670e+00 -1.83754633e+00  2.10725857e+00
  1.97612148e-01  5.01279736e-03  3.82125584e-01 -3.49667775e-01
  1.28841576e+00  1.18466059e+00 -3.39850762e-01 -6.74264603e-01
 -3.40632580e-01 -6.07345662e-01 -1.00963416e+00 -1.01846539e+00
  2.18910702e-01 -3.75279981e+00 -1.34339312e+00             nan
             nan  5.43586622e+00  6.21578027e-01  7.63883695e-01
 -1.80334197e-01 -1.62447691e+00 -5.36924653e-01 -1.69236109e+00
  5.00475558e-01 -2.44105031e-01  4.39587001e-01  9.81672661e-01
 -2.57913828e-02 -5.85280799e-01  1.14459114e+00  1.42883172e+00
  1.12371930e+00  2.90301947e+00  2.86197270e+00  3.43768270e+00
  1.20735444e+00  2.44836222e+00  2.75489716e+00  4.21629629e+00
  2.30785186e+00 -4.10745593e+00 -1.52402885e+01 -1.16097172e+01
 -3.68636643e+00 -2.42940578e-01  1.31030487e+00  2.24467188e+00
  2.03963922e+00 -5.36174740e-01  1.49376758e+00  1.02554238e+00
  2.85033995e+00  2.96568552e+00]"
TESS_19,All,"[1491.79818605 1492.12818605 1492.45818605 1492.78818605 1493.11818605
 1493.44818605 1493.77818605 1494.10818605 1494.43818605 1494.76818605
 1495.09818605 1495.42818605 1495.75818605 1496.08818605 1496.41818605
 1496.74818605 1497.07818605 1497.40818605 1497.73818605 1498.06818605
 1498.39818605 1498.72818605 1499.05818605 1499.38818605 1499.71818605
 1500.04818605 1500.37818605 1500.70818605 1501.03818605 1501.36818605
 1501.69818605 1502.02818605 1502.35818605 1502.68818605 1503.01818605
 1503.34818605 1503.67818605 1504.00818605 1504.33818605 1504.66818605
 1504.99818605 1505.32818605 1505.65818605 1505.98818605 1506.31818605
 1506.64818605 1506.97818605 1507.30818605 1507.63818605 1507.96818605
 1508.29818605 1508.62818605 1508.95818605 1509.28818605 1509.61818605
 1509.94818605 1510.27818605 1510.60818605 1510.93818605 1511.26818605
 1511.59818605 1511.92818605 1512.25818605 1512.58818605 1512.91818605
 1513.24818605 1513.57818605 1513.90818605 1514.23818605 1514.56818605
 1514.89818605 1515.22818605 1515.55818605 1515.88818605 1516.21818605]","[-0.48563116 -0.91761762 -0.67023786  0.30396064 -2.77101294  0.33822208
  0.87524726  0.74345192  0.34375258 -0.2455614   0.39192145  0.55568799
  0.32046777  0.81676588  0.06353163  1.99390294 -2.047148    0.35426674
 -1.00623725 -1.32687482 -1.37892244 -1.04667842  1.0905711  -0.9209772
  2.0157751   0.81138995  1.38498704 -0.43171916 -0.25035852 -0.07674162
 -0.4923078   0.8415504  -0.19856032 -0.56458928  0.09139785         nan
         nan         nan         nan -1.5120265  -0.26484922  0.38783529
 -0.02799326  0.44207697  0.31629129 -0.89366286  1.10650436  1.70076938
  2.59123    -1.63711708 -1.15876586 -0.73541478 -1.95324003 -1.7222412
  0.1306109  -0.49403234  1.9786118   1.74196196  0.2247614   1.27082206
  0.60389688 -1.09815559 -2.061057   -0.40041409 -0.1682996   1.51383016
  1.80932768  2.12847576 -0.90845342 -0.76185316  0.48963423  1.37138835
 -0.8774271  -0.96050727 -5.52313269]"
TESS_20_0,All,"[2174.39510488 2174.72510488 2175.05510488 2175.38510488 2175.71510488
 2176.04510488 2176.37510488 2176.70510488 2177.03510488 2177.36510488
 2177.69510488 2178.02510488 2178.35510488 2178.68510488 2179.01510488
 2179.34510488 2179.67510488 2180.00510488 2180.33510488 2180.66510488
 2180.99510488 2181.32510488 2181.65510488 2181.98510488 2182.31510488
 2182.64510488 2182.97510488 2183.30510488 2183.63510488 2183.96510488
 2184.29510488 2184.62510488 2184.95510488 2185.28510488 2185.61510488
 2185.94510488 2186.27510488 2186.60510488 2186.93510488 2187.26510488
 2187.59510488 2187.92510488 2188.25510488 2188.58510488 2188.91510488
 2189.24510488 2189.57510488 2189.90510488 2190.23510488 2190.56510488
 2190.89510488 2191.22510488 2191.55510488 2191.88510488 2192.21510488
 2192.54510488 2192.87510488 2193.20510488 2193.53510488 2193.86510488
 2194.19510488 2194.52510488 2194.85510488 2195.18510488 2195.51510488
 2195.84510488 2196.17510488 2196.50510488 2196.83510488 2197.16510488
 2197.49510488 2197.82510488 2198.15510488 2198.48510488 2198.81510488
 2199.14510488 2199.47510488 2199.80510488 2200.13510488]","[ 3.57634803e+00 -5.14100927e-01 -2.58630340e+00 -2.25236185e+00
 -3.52630904e+00 -1.68499478e+00  1.69997117e-01  6.42700981e-01
  2.66807447e+00 -8.77435072e+00 -4.35394151e+00 -3.36542754e-01
  9.53372551e-01  3.55358831e+00  2.52937901e+00  2.70633879e+00
  3.19599528e-01 -7.50029839e-01 -1.32309972e+00  1.41794632e+00
  2.08584683e-01  5.43544090e-01  2.70314202e+00 -5.16708978e-02
  1.11940589e-01  1.33222977e+00  1.21846594e+00 -2.87706272e-01
 -2.28027911e+00 -5.73160869e+00 -5.85343378e-01  1.83862991e+00
  2.35467203e+00  1.62079701e+00  5.00563252e+00             nan
             nan             nan             nan  7.37762282e+00
  4.77725514e+00  2.57425257e+00  2.51611812e+00 -3.26095768e+00
 -2.57613197e+00 -5.42856243e+00 -1.65362737e+00 -3.22270886e+00
 -7.97624367e-01 -9.54753703e-01  2.26803498e+00  1.97289081e+00
  5.10552476e-03 -1.73491667e+00  3.48794869e+00  3.70094094e+00
  2.43915416e+00 -3.15304369e-01  4.40014454e+00 -2.94587957e+00
 -4.63748824e+00  1.51625695e+00  1.08660493e+00 -1.19613841e+00
 -1.04262158e+00  1.59684937e+00  1.35752097e+00  2.60646421e+00
 -1.73273974e-02  1.67406605e+00  1.39261488e+00 -2.03200808e+00
 -3.01841489e+00  1.92572242e-01 -1.05108467e+00  3.53510382e-01
 -4.65993465e+00 -4.69971067e+00  8.81830387e+00]"
TESS_20_0,Sector1,"[2174.39510488 2174.72510488 2175.05510488 2175.38510488 2175.71510488
 2176.04510488 2176.37510488 2176.70510488 2177.03510488 2177.36510488
 2177.69510488 2178.02510488 2178.35510488 2178.68510488 2179.01510488
 2179.34510488 2179.67510488 2180.00510488 2180.33510488 2180.66510488
 2180.99510488 2181.32510488 2181.65510488 2181.98510488 2182.31510488
 2182.64510488 2182.97510488 2183.30510488 2183.63510488 2183.96510488
 2184.29510488 2184.62510488 2184.95510488 2185.28510488 2185.61510488]","[ 3.4188393  -0.46903451 -2.48908811 -2.14823048 -3.37864163 -1.62130536
  0.15863716  0.60509529  2.5646103  -8.3984759  -4.19213239 -0.33600511
  0.91337065  3.42904696  2.42555244  2.58032651  0.31019817 -0.69208904
 -1.26284546  1.33016348  0.20237755  0.51124647  2.60211788 -0.07700092
  0.13051628  1.29242935  1.19723167 -0.29562368 -2.19792784 -5.53740488
 -0.52570545  1.77316162  2.26398391  1.50752757  4.84283218]"
