Borne inf Borne sup Likelihood log(S0) log(Q) log(w0) Errors_inf S0,Q,w0 Errors_sup S0,Q,w0
3.320000000000000000e+03 3.340000000000000000e+03 4.198514750214224733e+01 -8.711490790279617258e+00 1.205734899749252298e+00 5.506798221929999571e+00 1.790726225813765282e+00 2.229470885730707508e+00 1.866852857969688584e+00 2.003768885772115205e+00 2.654726353465992617e-01 2.003033955659683230e-01
3.340000000000000000e+03 3.492000000000000000e+03 4.514885490857877670e+01 -1.111560090093769304e+01 3.641102931379289309e+00 5.789230812287808448e+00 1.080435329148604851e+00 1.239900264815377184e+00 1.422758840866767294e+00 1.638874359197909136e+00 6.894055268163068462e-02 5.233740828144028967e-02
3.492000000000000000e+03 3.494000000000000000e+03 5.221647457872830245e+00 -1.072270398419321680e+01 4.965639612999792618e+00 5.455686209680445486e+00 3.706365538835484585e+00 3.786394583627461508e+00 3.708179875608344833e+00 3.442289593855539565e+00 3.186916707467428722e-01 4.486937176987177978e-01
3.494000000000000000e+03 3.666000000000000000e+03 -2.056464008918398889e+01 -7.803062494928683535e+00 1.398601608478486025e+00 5.533301730195220536e+00 3.350596531279668611e+00 2.832174085216539794e+00 2.252725258522172425e+00 3.551752170412236342e+00 2.723434170475620419e-01 2.436054209605629239e-01
3.666000000000000000e+03 3.668000000000000000e+03 4.288013482486435635e+01 -1.020896168318306962e+01 2.961041411823871705e+00 5.670880546363123997e+00 6.750984670410566935e-01 8.068384486423205715e-01 1.124863006259185561e+00 1.466660641582385516e+00 6.821643074699412779e-02 5.936554548685535337e-02
3.668000000000000000e+03 3.711000000000000000e+03 7.739854087979588826e+01 -1.133155999946416337e+01 3.234014104073708928e+00 5.715296008755400337e+00 5.448414811499251442e-01 6.068479251808067687e-01 9.374042476898232223e-01 1.360177605086321684e+00 4.266472553514866206e-02 3.983469173377862660e-02
3.711000000000000000e+03 3.712000000000000000e+03 4.278267616071344293e+01 -1.031058357507622247e+01 2.777808652443962245e+00 5.692218995247458224e+00 7.588102856714815658e-01 8.879391507814631268e-01 1.156762125988413326e+00 1.462419403674823037e+00 6.661475825784179960e-02 5.413915361332755083e-02
3.712000000000000000e+03 3.713000000000000000e+03 6.947129814113176849e+01 -1.242292850608565757e+01 5.196204546854930939e+00 5.718540035126087773e+00 6.472636939336204875e-01 6.795092845892138911e-01 1.160624475436723202e+00 1.458690958519536451e+00 1.652492412390760279e-02 1.699893749148451150e-02
3.713000000000000000e+03 3.768000000000000000e+03 3.212846149866684442e+01 -9.097452026369852618e+00 2.661846394176006214e+00 5.602980290770656069e+00 6.230954649440985094e-01 7.565620403772097546e-01 1.035356685197066584e+00 1.416132358403890734e+00 8.207726060247466648e-02 6.528186139196368032e-02
3.768000000000000000e+03 3.769000000000000000e+03 4.170973339123935375e+02 -1.100991891832135394e+01 3.338649574238763407e+00 5.678418360304000601e+00 2.192436977539529153e-01 2.321518544459930666e-01 6.229980277728772720e-01 1.032737410008764734e+00 1.662180292788129066e-02 1.636461991784443626e-02
3.769000000000000000e+03 3.770000000000000000e+03 9.767368687917854686e+01 -1.094067808663560015e+01 1.783772762882381846e+00 5.603387111635712792e+00 5.223954039480638301e-01 6.331222197229848803e-01 7.009182625354506424e-01 1.037391302211161159e+00 7.999475710770820314e-02 7.047410399510578571e-02
3.770000000000000000e+03 3.771000000000000000e+03 6.739023114046811713e+01 -1.183387848991634961e+01 4.188520847281280268e+00 5.621907177190992755e+00 7.202784895107114949e-01 8.046861040233626028e-01 1.204172726813271588e+00 1.504141503468763297e+00 3.101908208068948625e-02 3.066382808835754759e-02
3.771000000000000000e+03 3.772000000000000000e+03 4.843516015085560156e+01 -1.096678159061160684e+01 2.603703285990071503e+00 5.612492211472832615e+00 7.396083591551114722e-01 9.160117719909699474e-01 1.038069923411732542e+00 1.412811351335665488e+00 6.675086978140587490e-02 5.989370711647001855e-02
3.772000000000000000e+03 3.773000000000000000e+03 8.550898799975178122e+01 -1.147892991891550629e+01 3.154530823468340905e+00 5.668218553521349179e+00 6.331617350831617586e-01 7.629274910220988914e-01 1.148135698953849371e+00 1.447934195283862024e+00 7.493586017944853239e-02 6.848266956686188678e-02
3.773000000000000000e+03 3.774000000000000000e+03 6.783865959164990045e+01 -1.142217835837071682e+01 4.360967011738988930e+00 5.579404377777139601e+00 6.560388155050222991e-01 7.170152236342772767e-01 1.148183983734988978e+00 1.482204603341158666e+00 2.974129417767734651e-02 3.034064566924588036e-02
3.774000000000000000e+03 3.850000000000000000e+03 8.480473394124234687e+01 -1.100215877844270551e+01 3.598884659495251270e+00 5.717141694726930012e+00 3.597987056692595331e-01 3.823011220308174529e-01 6.984564957863441670e-01 8.654802040503488669e-01 2.257335066153753900e-02 2.275038023941267085e-02
